"lang"
{ 
	"Language" "dutch" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatische aanval"
		"dac_ability_anessix_pure_pain_description"									"Anessix valt een willekeurige vijand aan en brengt die {s:duration} seconden lang {s:damage_per_level} pure schade aan per seconde."
		"dac_ability_anessix_pure_pain_description_perlevel"						"Anessix valt een willekeurige vijand aan en brengt die voor {s:duration} seconden {s:damage_per_level} pure schade aan per seconde."
		"dac_ability_anessix_pure_pain_lore"										"Over pure pijn"

		"dac_ability_anessix_martyrs_boon"											"De Zegen van de Martelaar"
		"dac_ability_anessix_martyrs_boon_description"								"Anessix krijgt schade toebedeeld voor {s:selfdmg}% van haar maximale gezondheid. Alle geallieerde eenheden genezen aan {s:regen_per_level} HP per seconde gedurende de volgende {s:duration} seconden."
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"Anessix krijgt schade toebedeeld voor {s:selfdmg}% van haar maximale gezondheid. Alle geallieerde eenheden genezen aan {s:regen_per_level} HP per seconde gedurende de volgende {s:duration} seconden."
		"dac_ability_anessix_martyrs_boon_lore"										"Over de zegen van de martelaar"

		"dac_ability_anessix_enthrall"												"Obsessie"
		"dac_ability_anessix_enthrall_description"									"Anessix markeert {s:target_duration} seconden een doelwit voor haar leger en dwingt ze om het aan te vallen. Als het doelwit doodgaat, brengt Anessix het terug als een demon die voor haar vecht."
		"dac_ability_anessix_enthrall_description_lore"								"Over obsessie"

		"dac_ability_demon_warrior_bash"											"Krijgersmokerslag"
		"dac_ability_demon_warrior_bash_description"								"De metgezel van Anessix heeft {s:bash_chance}% kans om hun doelwit {s:bash_duration} seconden te verlammen en {s:bonus_chance_damage} extra schade aan te richten."
		"dac_ability_demon_warrior_bash_lore"										"Over obsessie"

		"dac_ability_hobgen_passive"												"Passieve vaardigheid"
		"dac_ability_hobgen_passive_description"									"Hobgen genereert {s:tick_amount} hype per seconde (HPS), met een extra {s:hype_per_unit_burning} HPS per eenheid die hij in brand steekt. Elke vijand die hij aanvalt, wordt 3 seconden lang in vuur en vlam gezet."

		"dac_ability_hobgen_explosivo"												"Explosivo!"
		"dac_ability_hobgen_explosivo_description"									"Hobgen werpt een vuurbal naar een doelwit die {s:damage_base_per_level} schade aanricht. De schade wordt gelijk verdeeld over alle doelwitten die in de buurt staan en zet ze allemaal in brand."
		"dac_ability_hobgen_explosivo_description_perlevel"							"Hobgen werpt een vuurbal naar een doelwit die {s:damage_base_per_level} schade aanricht. De schade wordt gelijk verdeeld over alle aangrenzende doelwitten en zet ze allemaal in brand."
		"dac_ability_hobgen_explosivo_description_lore"								"Over explosivo! "

		"dac_ability_hobgen_supercharged"											"Superlading"
		"dac_ability_hobgen_supercharged_description"								"Hobgen geeft de dichtstbijzijnde vriendelijke eenheid een superlading, waardoor deze in brand komt te staan en {s:aspd_per_level} aanvalssnelheid ontvangt."
		"dac_ability_hobgen_supercharged_description_perlevel"						"Hobgen geeft de dichtstbijzijnde vriendelijke eenheid een superlading, waardoor deze in brand komt te staan en {s:aspd_per_level} aanvalssnelheid ontvangt."
		"dac_ability_hobgen_supercharged_description_lore"							"Over superlading"

		"dac_ability_hobgen_airstrike"												"Vriendelijk vuur"
		"dac_ability_hobgen_airstrike_description"									"De maatjes van Hobgen gooien {s:strikes} bommen op het slagveld die {s:damage} schade aanrichten bij vijandelijke eenheden die rechtstreeks geraakt worden door hun ontploffingen. Vijanden die in het schadegebied van de explosie staan, krijgen de helft van die schade."
		"dac_ability_hobgen_airstrike_description_lore"								"Over vriendelijk vuur "

		"dac_ability_hobgen_letsgocrazy"											"Laten we lekker maf doen"
		"dac_ability_hobgen_letsgocrazy_description"								"Hobgen wordt tot zwijgen gebracht en zijn aanvalsbereik wordt verhoogd naar 8. Hij ontvangt een superlading en alle daarbij behorende upgrades en wisselt constant van doelwit om eenheden te treffen die niet in brand staan."
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"Hobgen wordt tot zwijgen gebracht en zijn aanvalsbereik wordt verhoogd naar 8. Hij ontvangt een superlading en alle daarbij behorende upgrades en wisselt constant van doelwit om eenheden te treffen die niet in brand staan."
		"dac_ability_hobgen_letsgocrazy_description_lore"							"Over Laten we lekker maf doen "

		"dac_ability_demon_warrior_protect"											"Krijgerbescherming"
		"dac_ability_demon_warrior_protect_description"								"De demon beschermt Anessix door haar af te schermen van afstandsaanvallen."
		"dac_ability_demon_warrior_protect_description_lore"						"Over krijgerbescherming"
	}
}
