"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Автоатака"
		"dac_ability_anessix_summon_golem_description"								"Анесикс прикликає демонічного ґолема, який звалюється позаду ворогів та приголомшує їх на 2 с в радіусі 2."
		"dac_ability_anessix_summon_golem_lore"										"Прошу, я б ніколи вас не вбила… для цього є помічники. — <i>Анесикс із сумнівною мораллю</i>"

		"dac_ability_anessix_passive"												"Пасивне вміння"
		"dac_ability_anessix_passive_description"									"Анесикс прикликає приятеля воювати на своєму боці."

		"dac_ability_anessix_companion_archer_passive"								"Критичний удар"
		"dac_ability_anessix_companion_archer_passive_description"					"ПАСИВНО: демон-лучник під час кожної атаки має {s:chance}% шансу завдати {s:bonus}% критичної шкоди своєму ворогу."
		"dac_ability_anessix_companion_archer_passive_lore"							"<i>Мої колеги знають, як завдати клопоту. — <i>Анесикс, металевий кулак в оксамитовій рукавиці</i>"

		"dac_ability_anessix_pure_pain"												"Абсолютний біль"
		"dac_ability_anessix_pure_pain_description"									"Анесикс обирає випадкового ворога і завдає йому {s:damage} абсолютної шкоди за секунду впродовж {s:duration} с."
		"dac_ability_anessix_pure_pain_description_perlevel"						"Анесикс обирає випадкового ворога і завдає йому {s:damage} абсолютної шкоди за секунду впродовж {s:duration} с."
		"dac_ability_anessix_pure_pain_lore"										"Ви скажете мені все, що я маю знати… — <i>Анесикс, щира душа</i>"

		"dac_ability_anessix_martyrs_boon"											"Мученицьке благодіяння"
		"dac_ability_anessix_martyrs_boon_description"								"Анесикс зазнає шкоди, що дорівнює {s:selfdmg}% від її максимального здоров’я. Усі союзні істоти лікуються на {s:regen} здоров’я за секунду впродовж {s:duration} с."
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"Анесикс зазнає шкоди, що дорівнює {s:selfdmg}% від її максимального здоров’я. Усі союзні істоти лікуються на {s:regen} здоров’я за секунду впродовж {s:duration} с."
		"dac_ability_anessix_martyrs_boon_lore"										"Моя доброта рівноцінна моїй жорстокості. — <i>Анесикс, доброзичлива роботодавиця</i>"

		"dac_ability_anessix_enthrall"												"Поневолення"
		"dac_ability_anessix_enthrall_description"									"Анесикс визначає ціль для своєї армії на {s:target_duration} с, що зменшує броню істоти на {s:armor_reduction} і змушує всіх її атакувати. Якщо істота помирає, то Анесикс прикликає її на свій бік як демона."
		"dac_ability_anessix_enthrall_description_lore"								"Тепер ви належите мені. — <i>Анесикс бере участь у захопленні ворога</i>"

		"dac_ability_demon_warrior_bash"											"Приголомшення воїна"
		"dac_ability_demon_warrior_bash_description"								"Приятель Анесикс має {s:bash_chance}% шансу приголомшити свою ціль на {s:bash_duration} с і завдати додаткові {s:bonus_chance_damage} шкоди."
		"dac_ability_demon_warrior_bash_lore"										"Якщо хочете зустрітися з Анесикс, спочатку треба пройти повз мене… — <i>Бріл, демонічний раб</i>"

		"dac_ability_hobgen_passive"												"Пасивне вміння"
		"dac_ability_hobgen_passive_description"									"Атаки Гобґена підпалюють ворогів на 3 с."

		"dac_ability_hobgen_explosivo"												"Вибухово!"
		"dac_ability_hobgen_explosivo_description"									"Гобґен стріляє в ціль вогняною кулею, що підпалює усіх сусідніх ворогів і завдає {s:damage_base} шкоди, котра порівну розподіляється між ними."
		"dac_ability_hobgen_explosivo_description_perlevel"							"Гобґен стріляє в ціль вогняною кулею, що підпалює усіх сусідніх ворогів і завдає {s:damage_base} шкоди, котра порівну розподіляється між ними."
		"dac_ability_hobgen_explosivo_description_lore"								"Нумо щось підірвемо. — <I>Гобґен, руйнівник-аматор</i>"

		"dac_ability_hobgen_supercharged"											"Вогняне прискорення"
		"dac_ability_hobgen_supercharged_description"								"Гобґен прискорює найближчу союзну істоту, що підпалює її й дає їй {s:aspd} до швидкості атаки."
		"dac_ability_hobgen_supercharged_description_perlevel"						"Гобґен прискорює найближчу союзну істоту, що підпалює її й дає їй {s:aspd} до швидкості атаки."
		"dac_ability_hobgen_supercharged_description_lore"							"Іноді людям просто необхідна крихта мотивації. — <i>Гобґен запалює фізичне й проливає метафоричне світло</i>"

		"dac_ability_hobgen_airstrike"												"Дружній вогонь"
		"dac_ability_hobgen_airstrike_description"									"Друзі Гобґена кидають на поле бомби ({s:strikes}), котрі завдають {s:damage} шкоди ворогам, яких зачіпає вибух."
		"dac_ability_hobgen_airstrike_description_lore"								"Спалити тут усе! — <i>Гобґен, божевільний підпалювач</i>"

		"dac_ability_hobgen_letsgocrazy"											"Навіженство"
		"dac_ability_hobgen_letsgocrazy_description"								"Атаки Гобґена тепер дістають до всіх куточків поля бою й ваша команда отримує {s:aspd} до швидкості атаки. Гобґен постійно змінює ціль атаки, допоки не підпалить усіх ворогів."
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"Атаки Гобґена тепер дістають до всіх куточків поля бою й ваша команда отримує {s:aspd} до швидкості атаки. Гобґен постійно змінює ціль атаки, допоки не підпалить усіх ворогів."
		"dac_ability_hobgen_letsgocrazy_description_lore"							"Отже… ти хочеш, щоб я був поганцем, так? Це я можу. — <i>Перемовини між Гобґеном і Енно зайшли в глухий кут</i>"

		"dac_ability_demon_warrior_protect"											"Захист воїна"
		"dac_ability_demon_warrior_protect_description"								"Демон захищатиме Анесикс, блокуючи дальні атаки по ній."
		"dac_ability_demon_warrior_protect_description_lore"						"Будь поруч, любчику… тут повно покидьків. — <i>Анесикс іде на прогулянку Білим Шпилем</i>"

		"dac_ability_jull_passive"													"Пасивне вміння"
		"dac_ability_jull_passive_description"										"За кожну істоту поруч (як ворожу, так і союзну) Джул отримує {s:armor_per_enemy} броні."

		"dac_ability_jull_beeftron"													"Бувало й не таке"
		"dac_ability_jull_beeftron_description"										"Джул відбиває {s:melee_reflect_pct}% шкоди від ближніх атак назад на сусідніх ворогів. Він лікується на {s:melee_heal_pct}% отриманої шкоди від ближніх атак та на {s:ranged_heal_pct}% отриманої шкоди від дальніх атак, завданої йому за останні {s:melee_reflect_window} с."
		"dac_ability_jull_beeftron_lore"											"Мене. Не. Зламати! — <i>Джул показує свою рішучість перед неминучим катуванням</i>"

		"dac_ability_jull_punchtron"												"Добрячий стусан"
		"dac_ability_jull_punchtron_description"									"Джул дубасить свого ворога, завдає {s:punch_damage} шкоди та відштовхує на {s:punch_distance} клітини. Вороги на шляху приголомшуються на {s:stun_duration} с та переміщаються. Якщо ворог вдариться об край поля, він знову зазнає шкоди."
		"dac_ability_jull_punchtron_lore"											"Підходь, Бивню. Давненько не бачилися. — <i>Старі друзі розбираються в справах давно минулих літ</i>"

		"dac_ability_jull_barrelsoffun"												"Бочки веселощів"
		"dac_ability_jull_barrelsoffun_description"									"Джул викочує бочки з-за країв поля. Якщо вони влучають у союзників, ті здобувають {s:attack_speed_buff_pct} до швидкості атаки. Якщо у ворогів — ті зазнають {s:barrel_dmg} фізичної шкоди, а також на {s:damage_taken_debuff_pct}% більше магічної й фізичної шкоди до кінця битви."
		"dac_ability_jull_barrelsoffun_lore"										"Я не люблю псувати власний продукт, але іноді потрібно йти на жертви. — <i>Джул вирішує імпровізувати</i>"

		"dac_ability_jull_happyhour"												"Щасливі години"
		"dac_ability_jull_happyhour_description"									"Джул пригощає пійлом усю вашу команду. {s:damage_distributed_pct}% зазнаної шкоди діятиме на них одразу, а решта — впродовж {s:damage_distributed_duration} с."
		"dac_ability_jull_happyhour_lore"											"Друзі! Сьогодні пійло за мій кошт! — <i>Джул, власник бару «Розколотий Місяць»</i>"

		"dac_ability_enno_poison_spin"												"Отруйний оберт"
		"dac_ability_enno_poison_spin_description"									"Енно стрибає в повітря й вистрілює отруйним дротиком у ворогів ({s:target_count}) у радіусі {s:range}, що накладає поєднувану отруту й завдає {s:damage} фізичної шкоди за одне поєднання отрути."
		"dac_ability_enno_poison_spin_lore"											"Нехай його розмір не вводить в оману… Енно значно небезпечніший, ніж видається. — <i>Джул готується до подорожі в нетрі</i>"

		"dac_ability_enno_escape_artist"											"Майстер утечі"
		"dac_ability_enno_escape_artist_description"								"Один раз за бій, коли здоров’я падає нижче ніж {s:escape_health_pct_1}/{s:escape_health_pct_2}/{s:escape_health_pct_3}%, Енно втікає в хмару диму, яка знімає з нього всі негативні ефекти. Потім він з’являється в іншій частині поля. Усі вороги поруч із місцем приземлення Енно приголомшуються на {s:stun_duration} с."
		"dac_ability_enno_escape_artist_lore"										"Та схопіть хтось того круглика і вбийте вже! — <i>Гобґен, страшенно розлючений</i>"

		"dac_ability_enno_steal"													"Ич!"
		"dac_ability_enno_steal_description"										"На початку бою Енно краде предмет найнижчого ступеня у ворожої команди. Щоразу, коли ворог помирає, Енно забирає предмет, кращий за викрадений раніше. Усі предмети повертаються до своїх власників після бою."
		"dac_ability_enno_steal_lore"												"Слухайте, я Володарка таємниць, а не дивотвориця. Якщо Енно щось у вас забрав, то не віддасть, поки йому ця річ не набридне. — <i>Анесикс, яка завжди тримає гаманець при собі</i>"

		"dac_ability_enno_airbrawl"													"Повномасштабна атака!"
		"dac_ability_enno_airbrawl_description"										"Енно починає повномасштабну атаку на всіх ворогів: накладає поєднання отрути ({s:stacks}), завдає {s:fight_damage} фізичної шкоди та приголомшує їх на {s:land_stun_duration} с."
		"dac_ability_enno_airbrawl_lore"											"ЗАБЕРІТЬ ВІД МЕНЕ ЦЬОГО ПУХНАСТОГО ВИЛУПКА! — <i>Гобґен пізнає природу приниження</i>"

		// 3star abilities
		"dac_ability_3star"															"Тризірковий ефект"

		"dac_ability_warlock_3star"													"Тризірковий ефект Чорнокнижника"
		"dac_ability_warlock_3star_Description"										"Тризірковий живий Чорнокнижник уберігає союзних демонів від знемовлення один одного під час застосування здібностей."

		"dac_ability_razor_3star"													"Тризірковий ефект Леза"
		"dac_ability_razor_3star_Description"										"Тризірковий Лезо щоразу, коли атакує ворога, викрадає {s:stolen_dmg} шкоди від атак, аж до {s:max_stacks} разів. Під час зміни цілі Лезо не отримує викрадену шкоду, але його ворог її втрачає."

		"dac_ability_chaos_knight_3star"											"Тризірковий ефект Лицаря Хаосу"
		"dac_ability_chaos_knight_3star_Description"								"Тризірковий живий Лицар Хаосу дає всім союзним лицарям ефект сусідства."

		"dac_ability_crystal_maiden_3star"											"Тризірковий ефект Кришталевої Діви"
		"dac_ability_crystal_maiden_3star_Description"								"Тризіркова жива Кришталева Діва зменшує всім союзникам зарядки на {s:cooldown_reduction}%."

		"dac_ability_terrorblade_3star"												"Тризірковий ефект Терора"
		"dac_ability_terrorblade_3star_Description"									"Тризірковий Терор отримує +{s:damage_bonus_pct}% абсолютної шкоди проти ворожих демонів."

		"dac_ability_tiny_3star"													"Тризірковий ефект Малюка"
		"dac_ability_tiny_3star_Description"										"Тризірковий Малюк щоразу під час кидання ворога зростає й здобуває +{s:bonus_damage} до шкоди від атак і +{s:bonus_armor} броні, але втрачає {s:aspd_loss} швидкості атаки. Максимально поєднань: {s:max_stacks}."

		"dac_ability_luna_3star"													"Тризірковий ефект Луни"
		"dac_ability_luna_3star_Description"										"Тризіркова Луна отримує Затемнення. Коли Луна потребує цього, Селемене блокує світло в радіусі {s:radius} навколо Луни та спрямовує на ворогів промені ({s:beams}) місячної енергії, кожен із яких завдає {s:beam_damage} шкоди кожні {s:beam_interval} с і приголомшує ворогів на {s:beam_stun} с. Максимальна кількість влучань променів в одну істоту: {s:hit_count}."

		"dac_ability_dazzle_3star"													"Тризірковий ефект Дазла"
		"dac_ability_dazzle_3star_Description"										"Тризірковий Дазл пропонує Порожню могилу всім союзним істотам у радіусі {s:never_die_range}. Усі ці істоти живуть додаткові {s:never_die_duration} с після отримання смертельного удару."

		"dac_ability_broodmother_3star"												"Тризірковий ефект Павучихи"
		"dac_ability_broodmother_3star_Description"									"Тризіркова жива Павучиха робить усіх союзних павученят невразливими."
	}
}
