"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"โจมตีอัตโนมัติ"
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"ตัณหาโลหิต"
		"dac_ability_thunder_lizard_bloodlust_Description"						"สิ่งมีชีวิตกระตุ้นความบ้าคลั่งของยูนิตฝ่ายเดียวกัน เพิ่มความเร็วในการเคลื่อนที่ {s:bonus_movement_speed}% และความเร็วในการโจมตี {s:bonus_attack_speed}% หากร่ายใส่ตัวมันเอง ความเร็วในการโจมตีจะเพิ่ม {s:self_bonus}% แทน"
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"ออรารักษา"
		"dac_ability_healing_ward_healing_aura_description"								"รักษาพลังชีวิตยูนิตฝ่ายเดียวกันภายในระยะ {s:heal_range} ช่องเป็นจำนวน {s:health_regen} หน่วย/วินาที"
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"ปลุกซอมบี้"
		"dac_ability_tombstone_raise_zombies_description"							"ยูนิตที่ตายในระยะ {s:range} ช่องจะอัญเชิญซอมบี้"
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"รั้วกั้น"
		"dac_ability_barricade_aura_description"							"รั้วกั้นปกป้องยูนิตใกล้เคียง และต้านทานต่อเวทมนตร์ทุกชนิด"
		"dac_ability_barricade_aura_lore"									""

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"ยั่วยุ"
		"dac_ability_target_dummy_taunt_description"							"หุ่นเล็งเป้ายั่วยุศัตรู"
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"กำแพงเพลิง"
		"dac_ability_cinderwall_aura_description"							"กำแพงเพลิงปกป้องยูนิตใกล้เคียง ต้านทานต่อเวทมนตร์ทุกชนิด และทำให้ยูนิตใกล้เคียงติดไฟ"
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"ลูกบาศก์แห่งกาลเวลา"
		"dac_ability_faceless_void_chronocube_description"							"สร้างห้วงบิดเบือนในกาลอวกาศขึ้นมา สตันยูนิตทุกตัวที่ติดอยู่ข้างใน {s:radius} ช่องจากจุดศูนย์กลางลูกบาศก์เป็นเวลา {s:stun_duration} วินาที เฟซเลสวอยด์เคลื่อนที่ได้เร็วขึ้นอย่างมากเมื่ออยู่ด้านในลูกบาศก์ และได้รับความเร็วในการโจมตี {s:bonus_attack_speed} หน่วย โดยจะมีเพียงเฟซเลสวอยด์เท่านั้นที่จะไม่ได้รับผลกระทบ"
		"dac_ability_faceless_void_chronocube_lore"									"คลาสซูรีมจะเข้ามาขัดขวางเป็นแน่ นี่อาจเป็นปัญหาได้ - <i>เมื่อจุลตระหนักว่าเขาไม่สามารถปล่อยหมัดใส่เวลาได้</i>"

		"dac_ability_faceless_void_time_walk"										"ย่างก้าวแห่งกาล"
		"dac_ability_faceless_void_time_walk_description"							"ติดตัว: เฟซเลสวอยด์พุ่งตัวไปยังเป้าหมายถัดไปของเขา รักษาพลังชีวิตจากความเสียหายที่ได้รับทั้งหมดในช่วง 2 วินาทีที่ผ่านมา"
		"dac_ability_faceless_void_time_walk_lore"									"โปรดเถอะ ข้าจะไม่แตะไอ้นาฬิกาทรายพวกนี้แม้แต่อันเดียว เจ้าคิดว่าข้าอยากให้เพียร์พอนต์มาเพ่นพ่านแถวนี้งั้นหรือ? - <i>ฮอบเกน คนคลั่งที่ยังมีเหตุผล</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"ดวลศึก"
		"dac_ability_legion_commander_duel_description"								"ลีเจียนคอมมานเดอร์เลือกเป้าหมายศัตรูที่มีพลังชีวิตน้อยที่สุดในระยะ 1 ช่อง และทั้งสองจะถูกบังคับให้โจมตีกันเป็นเวลา {s:stun_duration} วินาที ฮีโร่ทั้งสองฝ่ายจะไม่สามารถใช้สกิลต่าง ๆ ได้ ถ้าฮีโร่ฝ่ายใดฝ่ายหนึ่งตายภายในช่วงเวลาของสกิล ฮีโร่ที่เป็นฝ่ายชนะการดวลศึกจะได้รับโบนัสค่าพลังโจมตี {s:winner_bonus_damage} หน่วยอย่างถาวร"
		"dac_ability_legion_commander_duel_lore"									"ไม่ต้องมาทำท่าทางหรอก เทรสดิน...ข้าช่วยเจ้าหาริกซ์ได้ - <i>อเนสซิกซ์ ไม่หวั่นแม้ความกดดันมามาก</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"ความมุ่งมั่นแห่งบูลสเน็ก"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>ปลดล็อคโดยพลังผสานมังกร</i><br>ติดตัว: เมื่อลีเจียนคอมมานเดอร์ชนะการดวลศึก เธอจะได้รับการรักษา {s:heal_percentage}% ของพลังชีวิตสูงสุดของเธอในทันที"
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"ข้ารู้จักพวกของเจ้าดี คอมมานเดอร์ และเจ้าคือสิ่งมีชีวิตที่อันตรายที่สุด นั่นคือผู้นับถือในศรัทธา - <i>เร็น นักเรียนแห่งโลก</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"กระดองหนาม"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"นิกซ์แอสซาสซินปล่อยหนามออกจากกระดองของเขา ลบล้างและสะท้อนความเสียหายที่จะเกิด {s:damage_taken_reflect_percentage}% (มากที่สุดหนึ่งครั้งต่อคน) พร้อมทั้งสตันผู้สร้างความเสียหายเป็นเวลา {s:stun_duration} วินาที"
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"คำเรียกที่ถูกต้องคือสัตว์ขาปล้อง - <i>ไควเอท ใส่ใจในรายละเอียด</i>"

		"dac_ability_nyx_assassin_vendetta"											"พยาบาท"
		"dac_ability_nyx_assassin_vendetta_description"								"หลังจากเทเลพอร์ตเพื่อโจมตียูนิต นิกซ์แอสซาสซินสร้างความเสียหายเพิ่มเติม {s:bonus_damage} หน่วยในการโจมตีครั้งถัดไปของเขา และทำให้ศัตรูถูกปิดการทำงานของโบนัสติดตัวเป็นเวลา {s:break_duration} วินาที ทำให้เอฟเฟกต์ติดตัวทั้งหมดไม่สามารถทำงานได้"
		"dac_ability_nyx_assassin_vendetta_lore"									"จะแมลง แมง หรือสัตว์ขาปล้องอะไรใครจะไปสน ประเด็นคือข้าต้องการให้มันไปฆ่าคนนึงเดี๋ยวนี้... ตกลงเจ้าจะติดต่อมันให้ได้มั้ย? - <i>โอเนีย ไม่ค่อยชอบโดนคนอื่นแก้</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"ชูกูชิ"
		"dac_ability_weaver_shukuchi_description"									"วีเวอร์เลือนหายไปจากสายตา ทำให้ไม่สามารถเลือกเป็นเป้าหมายได้ และเคลื่อนที่อย่างรวดเร็วผ่านเป้าหมายที่อยู่ในระยะสูงสุด {s:distance_cells} ช่อง วีเวอร์สร้างความเสียหาย {s:damage} หน่วยแก่ศัตรูแต่ละตัวที่เคลื่อนที่ผ่าน"
		"dac_ability_weaver_shukuchi_lore"											"วีเวอร์ ด้วยกันแล้วเราจะสร้างโลกใบนี้ขึ้นมาใหม่ - <i>ทูราธ บ้าจริงทำจริง</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"วางไข่ลูกแมงมุม"
		"dac_ability_broodmother_spawn_spiderlings_description"						"บรูดมาเธอร์ฝังไข่ลูก ๆ เข้าไปในร่างยูนิตศัตรู สร้างความเสียหาย {s:damage} หน่วย หากเป้าหมายถูกฆ่า ลูกแมงมุม {s:num_spiderlings} ตัวจะฟักตัวออกมา ลูกแมงมุมเป็นยูนิตที่ไม่สามารถเลือกเป็นเป้าหมายได้ สร้างความเสียหายต่ำ และมีพลังชีวิต 1 หน่วย"
		"dac_ability_broodmother_spawn_spiderlings_lore"							""

		"dac_ability_broodmother_spin_web"											"ปั่นใย"
		"dac_ability_broodmother_spin_web_description"								"บรูดมาเธอร์ปั่นใยแมงมุมกว้าง {s:radius} ช่องลงบนยูนิตศัตรู ศัตรูที่อยู่ในใยจะสูญเสียความเร็วในการโจมตี {s:debuff_attack_speed} หน่วย ความเร็วในการเคลื่อนที่ {s:debuff_speed}% และความเร็วในการร่าย {s:debuff_casting_speed}%"
		"dac_ability_broodmother_spin_web_lore"										"เป็นไปได้มั้ยถ้าข้าจะจ้างลูกแมงมุมน้อยของเจ้ามาปั่นใยให้ข้าสักหน่อย? ข้าค่อนข้างมั่นใจว่าแมงมุมไม่ถือว่ารวมอยู่ในกฎหมายคุ้มครองแรงงานเด็กนะ - <i>คาร์ล ช่างตัดเสื้อมีจรรยาบรรณ</i>"

		// WISP
		"dac_ability_wisp_tether"													"เชื่อมสายใย"
		"dac_ability_wisp_tether_description"										"ไอโอผูกโยงเข้ากับยูนิตฝ่ายเดียวกันที่อยู่ใกล้ที่สุดและดึงตัวเข้าไปหา ไอโอและยูนิตที่โยงได้รับความเร็วในการโจมตี {s:bonus_attack_speed} หน่วย และการลดความเสียหาย {s:damage_reduction}% สายเชื่อมโยงจะขาดหากไอโออยู่ห่างออกไปมากกว่า {s:tether_break_distance} ช่อง"
		"dac_ability_wisp_tether_lore"												"<i>เมื่อเอ็นโนจ้องไปยังไอโออย่างใจจดใจจ่อ</i>"

		"dac_ability_wisp_relocate"													"เปลี่ยนตำแหน่ง"
		"dac_ability_wisp_relocate_description"										"ไอโอเทเลพอร์ตออกจากกระดานเป็นเวลา {s:relocate_time_away} วินาทีเพื่อฟื้นคืนชีวิตฮีโร่ที่ตาย ยูนิตทั้งสองจะกลับมาพร้อมพลังชีวิตเต็ม และถูกชำระล้างเอฟเฟกต์ด้านลบออก"
		"dac_ability_wisp_relocate_lore"											"<i>เมื่อไอโอจ้องกลับ</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"พ่นขนหนาม"
		"dac_ability_bristleback_quill_spray_description"							"บริสเซิลแบ็กสะบัดขนจากหลังของเขา สร้างความเสียหายแก่ยูนิตศัตรูทั้งหมดที่อยู่ในระยะ {s:radius} ช่อง ศัตรูจะได้รับความเสียหาย {s:quill_base_damage} หน่วย พร้อมกับเพิ่มอีก {s:quill_stack_damage} หน่วยสำหรับการบวกทับของพ่นขนหนามแต่ละในแต่ละครั้งที่โดนพ่นขนใส่ในรอบนี้จนถึงการบวกทับสูงสุด {s:max_stacks} ครั้ง"
		"dac_ability_bristleback_quill_spray_lore"									"ข้าจะบอกให้ชัดเจนแจ่มแจ้งสุด ๆ เลยนะ เจ้าและทัสก์จะไม่มาทำลายข้าวของในบาร์ของข้าคืนนี้ - <i>จุล ผู้ดับชนวน</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"เฉือนเลือดกินเนื้อ"
		"dac_ability_life_stealer_feast_description"								"การโจมตีของไลฟ์สตีลเลอร์สร้างความเสียหายแก่ศัตรู และรักษาตัวเขาเองเป็นจำนวน {s:lifesteal_percentage}% ของพลังชีวิตสูงสุดของเป้าหมาย"
		"dac_ability_life_stealer_feast_lore"										"ข้าไม่ชอบเลยนะที่เจ้ามาทึกทักเอาว่าจากสภาพของข้า ข้าจะรู้ถึงตำแหน่งของไลฟ์สตีลเลอร์ได้ในทันที - <i>คาร์ล ถูกประเมินผิดอยู่เป็นนิจ</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"คลื่นแห่งเงา"
		"dac_ability_dazzle_shadow_wave_description"								"แดซเซิลปล่อยพลังการรักษาซึ่งชิ่งระหว่างฝ่ายเดียวกันที่อยู่ในระยะ {s:bounce_radius} ช่องจากกัน สูงสุด {s:max_targets} ตัว รักษาฝ่ายเดียวกันแต่ละตัวเป็นจำนวน {s:damage} หน่วย และสร้างความเสียหายแก่ยูนิตศัตรูใดก็ตามที่อยู่ในระยะ {s:damage_radius} ช่องเป็นจำนวน {s:damage} หน่วย แดซเซิลจะได้รับการรักษาทุกครั้งเมื่อใช้คลื่นแห่งเงา"
		"dac_ability_dazzle_shadow_wave_lore"										"ข้าจะต้องจ่ายเท่าไหร่ถึงจะคงรักษาบริการของเจ้าไว้ได้? ข้าค่อนข้างสนใจในเรื่องการไม่ตายเป็นพิเศษน่ะ - <i>โอเนีย ทิ่มแทงเงา</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"เพิ่มขึ้นตามเลเวลอันเดอร์ลอร์ด"

		"dac_ability_anessix_summon_companions"										"สหายปีศาจของอเนสซิกซ์"
		"dac_ability_anessix_summon_companions_description"							"อเนสซิกซ์อัญเชิญกองกำลังปีศาจของเธอขึ้นมา หากปีศาจทั้งสองตาย เธอจะอัญเชิญพวกมันขึ้นมาใหม่อีกครั้ง"
		"dac_ability_anessix_summon_companions_lore"								"ที่มาสหายปีศาจ"

		"dac_ability_anessix_summon_golem"											"อัญเชิญโกเลมปีศาจ"
		"dac_ability_anessix_summon_golem_description"								"อเนสซิกซ์ทวงทั้งบาปบุญคุณโทษทั้งหมด และอัญเชิญโกเลมปีศาจขึ้นมา"
		"dac_ability_anessix_summon_golem_lore"										"ที่มาโกเล็มปีศาจ"

		"dac_ability_anessix_passive"												"สกิลติดตัว"
		"dac_ability_anessix_passive_description"									"อเนสซิกซ์สร้าง {s:tick_amount} ไฮป์ต่อวิ (ไฮป์ต่อวินาที) เป็นค่าเริ่มต้น บวกกับ {s:hype_per_demon} ไฮป์ต่อวิ ตามจำนวนปีศาจฝ่ายเดียวกันแต่ละตัวที่อยู่บนกระดาน เธอจะอัญเชิญ (และอัญเชิญใหม่ได้) คู่หูที่จะคอยสู้เคียงข้างเธอ"

		"dac_ability_anessix_companion_archer_passive"								"โจมตีคริติคอล"
		"dac_ability_anessix_companion_archer_passive_description"					"ติดตัว: นักธนูปีศาจมีโอกาส {s:chance}% ในการโจมตีแต่ละครั้งที่จะสร้างความเสียหายคริติคอล {s:bonus}% แก่ศัตรู"
		"dac_ability_anessix_companion_archer_passive_lore"							"ที่มาสหายปีศาจ"

		"dac_ability_anessix_pure_pain"												"ทุกขารมณ์ทะลุจิต"
		"dac_ability_anessix_pure_pain_description"									"อเนสซิกซ์เลือกเป้าหมายศัตรูสุ่มหนึ่งตัว สร้างความเสียหายโดยตรง {s:damage_per_level} หน่วยในทุกวินาที เป็นเวลา {s:duration} วินาที"
		"dac_ability_anessix_pure_pain_description_perlevel"						"อเนสซิกซ์เลือกเป้าหมายศัตรูสุ่มหนึ่งตัว สร้างความเสียหายโดยตรง {s:damage_per_level} หน่วยต่อเลเวลในทุกวินาที เป็นเวลา {s:duration} วินาที"
		"dac_ability_anessix_pure_pain_lore"										"ที่มาทุกขารมณ์ทะลุจิต"

		"dac_ability_anessix_martyrs_boon"											"พรผู้พลีชีวา"
		"dac_ability_anessix_martyrs_boon_description"								"อเนสซิกซ์ได้รับความเสียหายเท่ากับ {s:selfdmg}% ของพลังชีวิตสูงสุดของเธอ ยูนิตฝ่ายเดียวกันทั้งหมดจะได้รับการรักษาพลังชีวิต {s:immediate_heal_per_level} หน่วยในทันที และได้รับอัตราฟื้นฟูพลังชีวิต {s:regen_per_level} หน่วย เป็นเวลา {s:duration} วินาที"
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"อเนสซิกซ์ได้รับความเสียหายเท่ากับ {s:selfdmg}% ของพลังชีวิตสูงสุดของเธอ ยูนิตฝ่ายเดียวกันทั้งหมดจะได้รับการรักษาพลังชีวิต {s:immediate_heal_per_level} หน่วยต่อเลเวลในทันที และได้รับอัตราฟื้นฟูพลังชีวิต {s:regen_per_level} หน่วยต่อเลเวล เป็นเวลา {s:duration} วินาที"
		"dac_ability_anessix_martyrs_boon_lore"										"ที่มาพรผู้พลีชีวา"

		"dac_ability_anessix_enthrall"												"หว่านเสน่ห์"
		"dac_ability_anessix_enthrall_description"									"อเนสซิกซ์เล็งเป้าหมายหนึ่งตัว เพื่อให้กองทัพของเธอถูกบังคับโจมตีเป้าหมายดังกล่าวเป็นเวลา {s:target_duration} วินาที หากเป้าหมายตาย อเนสซิกซ์จะชุบชีวิตมันกลับมาเป็นปีศาจที่จะต่อสู้ให้เธอ"
		"dac_ability_anessix_enthrall_description_lore"								"ที่มาหว่านเสน่ห์"

		"dac_ability_demon_warrior_bash"											"พลังแบชแห่งนักรบ"
		"dac_ability_demon_warrior_bash_description"								"คู่หูของอเนสซิกซ์มีโอกาส {s:bash_chance}% ที่จะสตันเป้าหมายเป็นเวลา {s:bash_duration} วินาที และสร้างความเสียหายเพิ่มเติม {s:bonus_chance_damage} หน่วย"
		"dac_ability_demon_warrior_bash_lore"										"ที่มาหว่านเสน่ห์"

		"dac_ability_hobgen_passive"												"สกิลติดตัว"
		"dac_ability_hobgen_passive_description"									"ฮอบเกนสร้าง {s:tick_amount} ไฮป์ต่อวิ (ไฮป์ต่อวินาที) บวกกับ {s:hype_per_unit_burning} ไฮป์ต่อวิ ตามจำนวนยูนิตแต่ละตัวที่ติดไฟ ศัตรูตัวใดก็ตามที่ฮอบเกนโจมตีจะติดไฟเป็นเวลา 3 วินาที"

		"dac_ability_hobgen_explosivo"												"ขว้างระเบิดไปแล้ว!"
		"dac_ability_hobgen_explosivo_description"									"ฮอบเกนยิงลูกไฟไปยังเป้าหมาย สร้างความเสียหาย {s:damage_base_per_level} หน่วย โดยแบ่งเท่า ๆ กันระหว่างเป้าหมายที่อยู่ติดกันทั้งหมด และทำให้เหล่ายูนิตดังกล่าวติดไฟทุกตัว"
		"dac_ability_hobgen_explosivo_description_perlevel"							"ฮอบเกนยิงลูกไฟไปยังเป้าหมาย สร้างความเสียหาย {s:damage_base_per_level} หน่วยต่อเลเวล โดยแบ่งเท่า ๆ กันระหว่างเป้าหมายที่อยู่ติดกันทั้งหมด และทำให้เหล่ายูนิตดังกล่าวติดไฟทุกตัว"
		"dac_ability_hobgen_explosivo_description_lore"								"ที่มาขว้างระเบิดไปแล้ว! "

		"dac_ability_hobgen_supercharged"											"เดือดเกินพิกัด"
		"dac_ability_hobgen_supercharged_description"								"ฮอบเกนชาร์จพลังยูนิตฝ่ายเดียวกันที่อยู่ใกล้ที่สุดให้มีสถานะเดือดเกินพิกัด ทำให้ติดไฟและได้รับความเร็วในการโจมตี {s:aspd_per_level} หน่วย"
		"dac_ability_hobgen_supercharged_description_perlevel"						"ฮอบเกนชาร์จพลังยูนิตฝ่ายเดียวกันที่อยู่ใกล้ที่สุดให้มีสถานะเดือดเกินพิกัด ทำให้ติดไฟและได้รับความเร็วในการโจมตี {s:aspd_per_level} หน่วยต่อเลเวล"
		"dac_ability_hobgen_supercharged_description_lore"							"ที่มาเดือดเกินพิกัด "

		"dac_ability_hobgen_airstrike"												"ระเบิดไม่เลือกหน้า"
		"dac_ability_hobgen_airstrike_description"									"เหล่าสหายของฮอบเกนทิ้งระเบิด {s:strikes} ลูกลงในสมรภูมิ สร้างความเสียหาย {s:damage} หน่วยแก่ยูนิตศัตรูที่อยู่ในระยะระเบิด"
		"dac_ability_hobgen_airstrike_description_lore"								"ที่มาระเบิดไม่เลือกหน้า "

		"dac_ability_hobgen_letsgocrazy"											"บ้ากันให้สุด"
		"dac_ability_hobgen_letsgocrazy_description"								"ฮอบเกนได้รับสถานะเดือดเกินพิกัด และจะเปลี่ยนเป้าหมายไปหา ยูนิตที่ยังไม่ติดไฟอย่างต่อเนื่อง"
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"ฮอบเกนได้รับสถานะเดือดเกินพิกัด และจะเปลี่ยนเป้าหมายไปหา ยูนิตที่ยังไม่ติดไฟอย่างต่อเนื่อง"
		"dac_ability_hobgen_letsgocrazy_description_lore"							"ที่มาบ้ากันให้สุด "

		"dac_ability_demon_warrior_protect"											"พลังปกป้องแห่งนักรบ"
		"dac_ability_demon_warrior_protect_description"								"ปีศาจจะคอยปกป้องคุ้มครองอเนสซิกซ์ บล็อคการโจมตีระยะไกลที่กระทำต่อเธอ"
		"dac_ability_demon_warrior_protect_description_lore"						"ที่มาพลังปกป้องแห่งนักรบ"
	}
}
