"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-angreb"
		"dac_ability_granny_lizard_shotgun_blast_description"						"After 4 basic attacks Snapfire readies her shotgun, blasting a nearby enemy for {s:blast_damage} in a cone and slowing the attack of affected units by {s:blast_bonus_attack_speed}. The effect lasts {s:debuff_duration} seconds. At 3 stars, affected units also lose {s:blast_armor_loss} armor."
		"dac_ability_granny_lizard_shotgun_blast_lore"								"Keenfolket har altid haft fascinerende idéer til krigsførelse, og krigsførelse er mit levebrød. Måske kan vi gøre forretninger sammen. <i>&#8211; Den Stille, forretningsengel</i>"

		"dac_ability_granny_lizard_bazooka"											"Mortimers Kys"
		"dac_ability_granny_lizard_bazooka_description"								"<i>UNLOCKED BY THE DRAGON ALLIANCE</i>: Mortimer spits {s:projectile_count} globs at enemies. Each glob deals {s:damage} damage to all enemies within {s:impact_radius} cell of the impact and lights them on fire for {s:burn_duration} seconds. They also lose {s:attack_slow} Attack Speed for {s:attack_slow_duration} seconds."
		"dac_ability_granny_lizard_bazooka_lore"									"Du har vel ikke tænkt dig at fortælle kvinden, at det der ikke er en drage? <i>&#8211; Grek går ikke op i nøjagtigheder</i>"

		// MANGO TREE
		"dac_ability_mango_tree_mango_throw"										"Mangokast"
		"dac_ability_mango_tree_mango_throw_description"							"Ved kampens start og hvert {s:mango_production_interval}. sekund bagefter kaster Mangotræet en mango op til {s:radius} felter. Enheder, der rører en mango, spiser den og får 50 mana og 100 helbred."
		"dac_ability_mango_tree_mango_throw_lore"									"Lad være med at kigge på mig på den måde, det er bare frugt. <i>&#8211; Anessix kæmper desperat mod stereotyper</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"Skaleres med Underlord"

		"dac_ability_anessix_summon_companions"										"Anessix' Dæmonvenner"
		"dac_ability_anessix_summon_companions_description"							"Anessix hidkalder sin bande af dæmoner. Hvis begge dæmoner er døde, hidkalder hun dem igen."
		"dac_ability_anessix_summon_companions_lore"								"Det betaler sig at kende folk... <i>&#8211; Anessix har forbindelser i underverdenen</i>"

		"dac_ability_anessix_summon_golem"											"Hidkald Dæmonisk Monster"
		"dac_ability_anessix_summon_golem_description"								"Anessix hidkalder et Dæmonisk Monster, som styrter ned bag fjendens linjer og lammer hver fjende inden for 2 felter i 2 sekunder."
		"dac_ability_anessix_summon_golem_lore"										"Helt ærligt, jeg ville aldrig slå dig ihjel... Det har jeg folk til. <i>&#8211; Anessix' moral er tvivlsom</i>"

		"dac_ability_anessix_passive"												"Passiv evne"
		"dac_ability_anessix_passive_description"									"Anessix hidkalder en ledsager, som kæmper på hendes side."

		"dac_ability_anessix_companion_archer_passive"								"Kritisk slag"
		"dac_ability_anessix_companion_archer_passive_description"					"PASSIV: Dæmonbueskytten har {s:chance}% chance for at give et kritisk slag med {s:bonus}% skade til fjenden ved hvert angreb."
		"dac_ability_anessix_companion_archer_passive_lore"							"Mine folk er mestre i ubehagelige situationer. <i>&#8211; Anessix, jernnæve med fløjlshandsker</i>"

		"dac_ability_anessix_pure_pain"												"Ren Smerte"
		"dac_ability_anessix_pure_pain_description"									"Anessix angriber en tilfældig fjende og giver {s:damage} ren skade hvert sekund i {s:duration} sek."
		"dac_ability_anessix_pure_pain_description_perlevel"						"Anessix angriber en tilfældig fjende og giver {s:damage} ren skade hvert sekund i {s:duration} sek."
		"dac_ability_anessix_pure_pain_lore"										"Giv mig de oplysninger, jeg vil have... <i>&#8211; Anessix er god til personlige relationer</i>"

		"dac_ability_anessix_martyrs_boon"											"Martyrens Godhed"
		"dac_ability_anessix_martyrs_boon_description"								"Anessix tager skade svarende til {s:selfdmg}% af sit maksimale helbred. Alle allierede enheder heles med {s:regen} HP pr. sekund i de næste {s:duration} sek."
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"Anessix tager skade svarende til {s:selfdmg}% af sit maksimale helbred. Alle allierede enheder heles med {s:regen} HP pr. sekund i de næste {s:duration} sek."
		"dac_ability_anessix_martyrs_boon_lore"										"Min godhed matcher min grusomhed. <i>&#8211; Anessix, imødekommende arbejdsgiver</i>"

		"dac_ability_anessix_enthrall"												"Tryllebundet"
		"dac_ability_anessix_enthrall_description"									"Anessix udpeger et mål i {s:target_duration} sek. og reducerer målets rustning med {s:armor_reduction}. Hun tvinger din hær til at angribe det. Hvis målet dør, bringer Anessix det tilbage som en dæmon, der kæmper på hendes side."
		"dac_ability_anessix_enthrall_description_lore"								"Du er min nu. <i>&#8211; Anessix laver en fjendtlig overtagelse</i>"

		"dac_ability_demon_warrior_bash"											"Krigerisk Slag"
		"dac_ability_demon_warrior_bash_description"								"The Bruiser has a {s:bash_chance}% chance of stunning their target for {s:bash_duration} seconds and dealing an additional {s:bonus_chance_damage} damage."
		"dac_ability_demon_warrior_bash_lore"										"Hvis du vil have fat i Anessix, skal du forbi mig først... <i>&#8211; Brill, dæmonisk spytslikker</i>"

		"dac_ability_hobgen_passive"												"Passiv evne"
		"dac_ability_hobgen_passive_description"									"Hobgens angreb sætter ild til fjender i 3 sekunder."

		"dac_ability_hobgen_explosivo"												"Eksplosivo!"
		"dac_ability_hobgen_explosivo_description"									"Hobgen kaster en ildkugle mod et mål, der giver {s:damage_base} skade, som fordeles ligeligt mellem alle tilstødende mål og sætter ild til dem alle."
		"dac_ability_hobgen_explosivo_description_perlevel"							"Hobgen kaster en ildkugle mod et mål, der giver {s:damage_base} skade, som fordeles ligeligt mellem alle tilstødende mål og sætter ild til dem alle."
		"dac_ability_hobgen_explosivo_description_lore"								"Lad os sprænge noget i luften. <i>&#8211; Hobgen, nedrivningsentusiast</i>"

		"dac_ability_hobgen_supercharged"											"Superladet"
		"dac_ability_hobgen_supercharged_description"								"Hobgen superlader den nærmeste allierede enhed, sætter ild til den og giver den {s:aspd} angrebshastighed."
		"dac_ability_hobgen_supercharged_description_perlevel"						"Hobgen superlader den nærmeste allierede enhed, sætter ild til den og giver den {s:aspd} angrebshastighed."
		"dac_ability_hobgen_supercharged_description_lore"							"Nogle gange har folk bare brug for lidt motivation. <i>&#8211; Hobgen sætter fut i tingene, bogstaveligt og billedligt talt</i>"

		"dac_ability_hobgen_airstrike"												"Brændende Kærlighed"
		"dac_ability_hobgen_airstrike_description"									"Hobgens venner kaster {s:strikes} bomber ud på slagmarken, som giver {s:damage} skade til fjender, som rammes af eksplosionen."
		"dac_ability_hobgen_airstrike_description_lore"								"Brænd det hele! <i>&#8211; Hobgen, vanvittig pyroman</i>"

		"dac_ability_hobgen_letsgocrazy"											"For Fuld Flamme"
		"dac_ability_hobgen_letsgocrazy_description"								"Hobgens angreb når nu hele slagmarken, og hele dit hold får {s:aspd} angrebshastighed. Hobgen sigter hele tiden på forskellige enheder, som ikke brænder."
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"Hobgens angreb når nu hele slagmarken, og hele dit hold får {s:aspd} angrebshastighed. Hobgen sigter hele tiden på forskellige enheder, som ikke brænder."
		"dac_ability_hobgen_letsgocrazy_description_lore"							"Nå... Så jeg skal være skurken? OK. <i>&#8211; Hobgens forhandling med Enno tager en negativ drejning</i>"

		"dac_ability_demon_warrior_protect"											"Krigerbeskyttelse"
		"dac_ability_demon_warrior_protect_description"								"Dæmonen beskytter Anessix og blokerer afstandsangreb mod hende."
		"dac_ability_demon_warrior_protect_description_lore"						"Hold dig tæt på mig, søde. Det vrimler med skumle elementer. <i>&#8211; Anessix går en tur i Det Hvide Spir</i>"

		"dac_ability_jull_passive"													"Passiv evne"
		"dac_ability_jull_passive_description"										"Jull får {s:armor_per_enemy} rustning pr. tilstødende allierede eller fjendtlige enhed."

		"dac_ability_jull_beeftron"													"Ryst Det Af"
		"dac_ability_jull_beeftron_description"										"Jull reflekterer {s:melee_reflect_pct}% nærkampsskade tilbage til alle tilstødende fjendtlige enheder og heler {s:melee_heal_pct}% af nærkampsskaden og {s:ranged_heal_pct}% af afstandsskaden fra de sidste {s:melee_reflect_window} sek."
		"dac_ability_jull_beeftron_lore"											"Jeg. Giver. Aldrig. Op! <i>&#8211; Tortur rokker ikke ved Julls viljestyrke</i>"

		"dac_ability_jull_punchtron"												"Tæv"
		"dac_ability_jull_punchtron_description"									"Jull slår sin nuværende fjende og giver {s:punch_damage} skade og skubber fjenden {s:punch_distance} felter væk fra dens nuværende position. Fjender, som står i vejen, bliver lammet i {s:stun_duration} sek. og flyttes. Hvis fjenden rammer kanten af brættet, tager den skade igen."
		"dac_ability_jull_punchtron_lore"											"Kom, Stødtanden. Det skete for længe siden. <i>&#8211; Gamle venner gør et gammelt regnskab op</i>"

		"dac_ability_jull_barrelsoffun"												"Rullende Tønder"
		"dac_ability_jull_barrelsoffun_description"									"Jull hidkalder tønder fra kanten af brættet. Hvis de rammer en allieret, får de {s:attack_speed_buff_pct}% angrebshastighed. Hvis de rammer en fjende, tager de {s:barrel_dmg} fysisk skade og får {s:damage_taken_debuff_pct}% ekstra magisk og fysisk skade i resten af kampen."
		"dac_ability_jull_barrelsoffun_lore"										"Det giver mig ingen glæde at ødelægge mit eget produkt, men nogle gange må man ofre sig. <i>&#8211; Jull improviserer</i>"

		"dac_ability_jull_happyhour"												"Happy Hour"
		"dac_ability_jull_happyhour_description"									"Jull køber en omgang til alle på dit hold. Når der modtages skade, modtages {s:damage_distributed_pct}% af skaden med det samme – resten modtages over {s:damage_distributed_duration} sek."
		"dac_ability_jull_happyhour_lore"											"Venner! I aften er det mig, der giver! <i>&#8211; Jull, ejer af baren Måneskær</i>"

		"dac_ability_enno_poison_spin"												"Dødsskrue"
		"dac_ability_enno_poison_spin_description"									"Enno hopper op i luften og skyder en giftpil mod op til {s:target_count} fjender inden for {s:range} felter, som påfører en stak gift og giver {s:damage} fysisk skade pr. stak."
		"dac_ability_enno_poison_spin_lore"											"Lad dig ikke narre af hans størrelse... Enno er farligere, end han ser ud til. <i>&#8211; Jull gør klar til at aflægge visit i Gyderne</i>"

		"dac_ability_enno_escape_artist"											"Udbryderkonge"
		"dac_ability_enno_escape_artist_description"								"Den første gang, at Enno kommer under {s:escape_health_pct_1}/{s:escape_health_pct_2}/{s:escape_health_pct_3}% helbred, forsvinder han i en røgsky, fjerner alle sine negative effekter og dukker op et andet sted på brættet. Fjender, som står ved siden af Enno, når han lander, lammes i {s:stun_duration} sek."
		"dac_ability_enno_escape_artist_lore"										"Grib den lille gnom, og slå ham ihjel! <i>&#8211; Hobgen, vældig irriteret</i>"

		"dac_ability_enno_steal"													"Vups!"
		"dac_ability_enno_steal_description"										"Enno stjæler genstanden med det laveste niveau fra fjendens hold, når kampen starter. Når en fjende dør, plyndrer Enno fjenden, hvis den har en bedre genstand udstyret. Alle genstande returneres til de oprindelige ejere efter kampen."
		"dac_ability_enno_steal_lore"												"Hør, jeg er Hemmelighedernes Elskerinde, jeg udfører ikke mirakler: Hvis Enno har taget noget fra dig, får du det ikke tilbage, før han bliver træt af det. <i>&#8211; Anessix har altid hånden på sin taske</i>"

		"dac_ability_enno_airbrawl"													"Totalangreb!"
		"dac_ability_enno_airbrawl_description"										"Enno indleder et Totalangreb mod alle fjender. Dette påfører {s:stacks} giftstakke, giver {s:fight_damage} fysisk skade og lammer fjenderne i {s:land_stun_duration} sek."
		"dac_ability_enno_airbrawl_lore"											"FÅ DET BEHÅREDE BÆST VÆK FRA MIG! <i>&#8211; Hobgen lærer ydmyghed</i>"


		// **** New Rotation

		// VENGEFULSPIRIT
		"dac_ability_vengefulspirit_wave_of_terror"								"Wave of Terror"
		"dac_ability_vengefulspirit_wave_of_terror_Description"					"Vengeful Spirit lets loose a wicked cry in a straight path, damaging enemy units along the way for {s:projectile_damage} damage, and reducing their armor by {s:armor_loss} for {s:duration} seconds."
		"dac_ability_vengefulspirit_wave_of_terror_Lore"									"Trust me, I know a thing or two about revenge... if you help me claim White Spire, I promise you White Spire will help you stand against Imperia. -<i>In which Hobgen brokers a deal</i>"
		"dac_ability_vengefulspirit_3star"										"Vengeful Spirit 3 Star Effect"
		"dac_ability_vengefulspirit_3star_Description"							"When Vengeful Spirit dies, she deals {s:damage} damage to all enemies within {s:radius} cells."

		// MEEPO
		"dac_ability_meepo_poof"												"Poof"
		"dac_ability_meepo_poof_Description"									"Meepo teleports to a random enemy, dealing {s:damage} damage to all adjacent enemy units."		
		"dac_ability_meepo_poof_Lore"									"Don't chase him into the Warrens, if Enno is protecting him you won't come back alive. - <i>In which Jull decides to let a card cheat escape</i>"
		"dac_ability_meepo_divided_we_stand"									"Divided We Stand"
		"dac_ability_meepo_divided_we_stand_Description"						"Whenever Meepo casts an ability, he creates a copy of himself with the same health he currently has. If Meepo or any clone dies, all Meepos die."
		"dac_ability_meepo_divided_we_stand_Lore"									"Sire, Meepo 2 is trying to start up a dice game again, are you sure it's wise to give them safe harbor? - <i>In which YipYip expresses concern about his sire's guests</i>"
		"dac_ability_meepo_3star"												"Meepo 3 Star Effect"
		"dac_ability_meepo_3star_Description"									"Clones of Meepo copy Meepo's item as well."
 									
		// SPIRIT BREAKER
		"dac_ability_spirit_breaker_charge_of_darkness"							"Charge of Darkness"
		"dac_ability_spirit_breaker_charge_of_darkness_Description"				"Spirit Breaker charges towards a distant enemy, hitting it and enemies along the way for {s:damage} damage and stunning them for {s:stun_duration} seconds."
		"dac_ability_spirit_breaker_charge_of_darkness_Lore"									"Keep an eye on that one... I want to know why he's here - <i>In which Hobgen doesn't like being in the dark </i>"
		"dac_ability_spirit_breaker_3star"										"Spirit Breaker 3 Star Effect"
		"dac_ability_spirit_breaker_3star_Description"							"Spirit Breaker gains Greater Bash. Spirit Breaker's attacks have a {s:bash_chance}% chance of dealing {s:damage} bonus damage and stunning the target for {s:bash_duration} seconds."

		// SPECTRE
		"dac_ability_spectre_spectral_dagger"									"Spectral Dagger"
		"dac_ability_spectre_spectral_dagger_Description"						"Spectre flings a dagger at an enemy hero, dealing {s:damage} damage and drawing a Shadow Path which slows the movement speed of enemy units by {s:move_slow_pct} and Attack Speed by {s:attack_slow} for {s:path_duration} seconds. Spectre runs to attack this unit and gains {s:bonus_aspd} Attack Speed and {s:bonus_move_pct}% bonus movement speed and phasing movement for {s:speed_duration} seconds."
		"dac_ability_spectre_spectral_dagger_Lore"									"To you, your past is a mystery... to me it is all too clear.  Serve me, and I will give you the answers you seek. - <i>Turath, Cult of Personality </i>"
		"dac_ability_spectre_3star"												"Spectre 3 Star Effect"
		"dac_ability_spectre_3star_Description"									"While Spectre is alive, whenever a Demon casts a spell all Allied Demons erupt in flames and wreathe their targets in fire, doing {s:damage} damage in a wide swathe and setting units hit on fire."

		// DEATH PROPHET
		"dac_ability_death_prophet_exorcism"									"Exorcism"
		"dac_ability_death_prophet_exorcism_Description"						"Death Prophet sends out a stream of up to {s:number} evil spirits for a duration of {s:spirit_duration} seconds. They roam the battlefield in a {s:radius} cell radius, dealing {s:damage} damage to all enemies they pass through and returning to heal Death Prophet for {s:heal_percent}% of the damage dealt."
		"dac_ability_death_prophet_exorcism_Lore"									"Criminals I know how to deal with... the dead?  Now that is something out of my wheelhouse. - <i>In which Jull is at a loss on how to kill what is already dead</i>"

		// PANGOLIER
		"dac_ability_pangolier_shield_crash"									"Shield Crash"
		"dac_ability_pangolier_shield_crash_Description"						"Pangolier jumps in the air and slams back into the ground, doing {s:damage} damage to enemies within {s:radius} cell and gaining {s:reduction_pct_per_enemy}% damage reduction per enemy for {s:duration} seconds. After the jump all enemies in attack range focus on Pangolier."
		"dac_ability_pangolier_shield_crash_Lore"									"On second thought, let's wait to install the chandelier until after Donte has left town... - <i>Jull, Thoughtful Remodler</i>"

		// RUBICK
		"dac_ability_rubick_fade_bolt"											"Fade Bolt"
		"dac_ability_rubick_fade_bolt_Description"								"Rubick creates a powerful stream of arcane energy that strikes a target and jumps {s:jumps} additional times, dealing {s:damage} damage and reducing their attack damage by {s:damage_reduction_pct}% for {s:duration} seconds."
		"dac_ability_rubick_fade_bolt_Lore"									"We were meant to work together Rubick, we're both unpredictable - <i>In which Hobgen gives a questionable sales pitch</i>"
		"dac_ability_rubick_spell_steal"										"Spell Steal"
		"dac_ability_rubick_spell_steal_Description"							"PASSIVE: Whenever an enemy within {s:radius} cells casts a spell, Rubick will cast a copy of that spell at his current star level." 
		"dac_ability_rubick_spell_steal_Lore"									"With your power and my resources, nothing could stop us - <i>In which Anessix courts the Grand Magus</i>"
		
		// WRAITH KING
		"dac_ability_wraith_king_wraithfire_blast"								"Wraithfire Blast"
		"dac_ability_wraith_king_wraithfire_blast_Description"					"Wraith King sears an enemy within {s:fallback_range} cells with spectral fire, stunning them for {s:stun_duration} seconds and dealing {s:damage} damage per second for {s:damage_duration} seconds."
		"dac_ability_wraith_king_wraithfire_blast_Lore"									"I want an audience with the Wraith King... anyone that good at lighting people on fire is someone I should know. - <i>Hobgen, Game Respects Game</i>"
		"dac_ability_wraith_king_raise_dead"									"Raise Dead"
		"dac_ability_wraith_king_raise_dead_Description"						"PASSIVE: Heroes spawn zombies when they die within {s:range} cells of Wraith King"
		"dac_ability_wraith_king_raise_dead_Lore"									"Osterion, we will do such wonderfully dreadful things together - <i>Anessix, Eyes on the Crown</i>"


		// 3star abilities
		"dac_ability_3star"															"Three Star Effect"

		"dac_ability_warlock_3star"													"Warlock 3 Star Effect"
		"dac_ability_warlock_3star_Description"										"While alive Warlock prevents friendly Demons from silencing each other when casting abilities."

		"dac_ability_razor_3star"													"Razor 3 Star Effect"
		"dac_ability_razor_3star_Description"										"Razor gains Static Link. Each time Razor attacks an enemy, he steals {s:stolen_dmg} Attack Damage, up to {s:max_stacks} times. This is reset for Razor, but not the enemy, when changing targets."

		"dac_ability_chaos_knight_3star"											"Chaos Knight 3 Star Effect"
		"dac_ability_chaos_knight_3star_Description"								"Chaos Knight's allied Knights always count as adjacent to a friendly Knight while Chaos Knight is alive."

		"dac_ability_crystal_maiden_3star"											"Crystal Maiden 3 Star Effect"
		"dac_ability_crystal_maiden_3star_Description"								"All allies have their cooldowns reduced by {s:cooldown_reduction}% while Crystal Maiden is alive."

		"dac_ability_terrorblade_3star"												"Terrorblade 3 Star Effect"
		"dac_ability_terrorblade_3star_Description"									"Terrorblade can summon demonic energy to gain +{s:damage_bonus_pct}% Pure Damage against enemy Demons. The bonus lasts {s:duration} seconds each cast."

		"dac_ability_tiny_3star"													"Tiny 3 Star Effect"
		"dac_ability_tiny_3star_Description"										"Each time Tiny tosses an enemy, he grows in size, gaining +{s:bonus_damage} Attack Damage and +{s:bonus_armor} Armor but losing {s:aspd_loss} Attack Speed, up to a maximum of {s:max_stacks} times."

		"dac_ability_luna_3star"													"Luna 3 Star Effect"
		"dac_ability_luna_3star_Description"										"Luna gains Eclipse. In Luna's time of need, Selemene blocks the light in a radius of {s:radius} cells around Luna and showers enemies with {s:beams} beams of lunar energy, one every {s:beam_interval} seconds, doing {s:beam_damage} damage per beam and stunning for {s:beam_stun} seconds, with a maximum of {s:hit_count} beams per enemy unit."

		"dac_ability_dazzle_3star"													"Dazzle 3 Star Effect"
		"dac_ability_dazzle_3star_Description"										"Dazzle offers a Shallow Grave to all friendly units up to {s:never_die_range} cell away. All blessed units survive for an extra {s:never_die_duration} seconds after receiving a killing blow."

		"dac_ability_broodmother_3star"												"Broodmother 3 Star Effect"
		"dac_ability_broodmother_3star_Description"									"While alive Broodmother makes all allied Spiderlings invulnerable."

		"dac_ability_pudge_3star"													"Pudge 3 Star Effect"
		"dac_ability_pudge_3star_Description"										"Pudge becomes a Flesh Heap and gains {s:bonus_health_per_death} Max HP and {s:magical_resistance}% Magic Resistance each time an enemy dies within {s:radius} cell of him."

		"dac_ability_viper_3star"													"Viper 3 Star Effect"
		"dac_ability_viper_3star_Description"										"Viper performs a Viper Strike every {s:num_attacks} attacks. The enemy unit takes {s:damage} damage per second and loses {s:bonus_movement_speed}% move speed and {s:bonus_attack_speed} Attack Speed, with the slowing tapering off over the {s:debuff_duration} second duration."

		"dac_ability_beastmaster_3star"												"Beastmaster 3 Star Effect"
		"dac_ability_beastmaster_3star_Description"									"Beastmaster takes {s:damage_reduction}% less damage from summoned units and is immune to any magical effects from them."

		"dac_ability_juggernaut_3star"												"Juggernaut 3 Star Effect"
		"dac_ability_juggernaut_3star_Description"									"While Juggernaut is alive, all allied heroes gain {s:bonus_health_pct}% of Juggernaut's Max HP."

		"dac_ability_queenofpain_3star"												"Queen of Pain 3 Star Effect"
		"dac_ability_queenofpain_3star_Description"									"The Queen of Pain captivates nearby enemies, allowing her a {s:evasion}% chance to evade attacks from enemies up to {s:radius} cells away."

		"dac_ability_drow_ranger_3star"												"Drow Ranger 3 Star Effect"
		"dac_ability_drow_ranger_3star_Description"									"Drow Ranger's arrows become Frost Arrows. These arrows slow a hit unit's movement by {s:move_speed_loss}% and its Attack Speed by {s:attack_speed_loss}. The effect lingers for {s:slow_duration} seconds."

		"dac_ability_abaddon_3star"													"Abaddon 3 Star Effect"
		"dac_ability_abaddon_3star_Description"										"Abaddon gains the ability to apply the Curse of Avernus to enemies he attacks. Once Abaddon has attacked the same enemy unit {s:min_stacks} times in a row that unit becomes silenced for {s:silence_duration} seconds and Abaddon gains +{s:attack_speed} Attack Speed against it. This refreshes on each additional landed attack, but starts again from 0 attacks if Abaddon changes targets."

		"dac_ability_bloodseeker_3star"												"Bloodseeker 3 Star Effect"
		"dac_ability_bloodseeker_3star_Description"									"Bloodseeker gains the Critical Hit bonus of the current active level of Assassin Alliance, if any."

		"dac_ability_morphling_3star"												"Morphling 3 Star Effect"
		"dac_ability_morphling_3star_Description"									"Morphling gains the in-combat bonuses of all active enemy Alliances as if he were an enemy Champion."

		"dac_ability_shadow_fiend_3star"											"Shadow Fiend 3 Star Effect"
		"dac_ability_Shadow_fiend_3star_Description"								"Shadow Fiend gains Presence of the Dark Lord. Enemies within {s:radius} cells suffer -{s:armor_reduction} armor due to Shadow Fiend's terrifying presence."

		"dac_ability_magnataur_3star"												"Magnus 3 Star Effect"
		"dac_ability_magnataur_3star_Description"									"Magnus gains Reverse Polarity. On cast, enemies within {s:radius} cells take {s:damage} damage and are stunned for {s:duration} second."

		"dac_ability_arc_warden_3star"												"Arc Warden 3 Star Effect"
		"dac_ability_arc_warden_3star_Description"									"Tempest Double clones copy Arc Warden's item."

		"dac_ability_bat_rider_3star"												"Bat Rider 3 Star Effect"
		"dac_ability_bat_rider_3star_Description"									"Sticky Napalm sets enemies on fire. See ability for details."

		"dac_ability_nyx_assassin_3star"											"Nyx Assassin 3 Star Effect"
		"dac_ability_nyx_assassin_3star_Description"								"Vendetta can be cast more often. See ability for details."

		"dac_ability_shadow_demon_3star"											"Shadow Demon 3 Star Effect"
		"dac_ability_shadow_demon_3star_Description"								"Shadow Demon applies Soul Catcher to the target of Demonic Purge. See ability for details."

		"dac_ability_tusk_3star"													"Tusk 3 Star Effect"
		"dac_ability_tusk_3star_Description"										"Walrus Punch slows enemies for a longer duration and causes them to lose Attack Speed as well as movement speed. See ability for details."

		"dac_ability_venomancer_3star"												"Venomancer 3 Star Effect"
		"dac_ability_venomancer_3star_Description"									"Plague Wards are immune to Magical damage."

		"dac_ability_weaver_3star"													"Weaver 3 Star Effect"
		"dac_ability_weaver_3star_Description"										"Weaver's attacks burn Mana after a Shukuchi. See ability for details."

		"dac_ability_bristleback_3star"												"Bristleback 3 Star Effect"
		"dac_ability_bristleback_3star_Description"									"Quill Spray's cooldown is greatly reduced. See ability for details."

		"dac_ability_earth_spirit_3star"											"Earth Spirit 3 Star Effect"
		"dac_ability_earth_spirit_3star_Description"								"Geomagnetic Grip stuns enemies. See ability for details."

		"dac_ability_natures_prophet_3star"											"3 Star Effect"
		"dac_ability_natures_prophet_3star_Description"								"Treants spawn on the enemy's side of the board."

		"dac_ability_ogre_magi_3star"												"Ogre Magi 3 Star Effect"
		"dac_ability_ogre_magi_3star_Description"									"Ogre Magi has a chance to Multicast Bloodlust. See ability for details."

		"dac_ability_slardar_3star"													"Slardar 3 Star Effect"
		"dac_ability_slardar_3star_Description"										"Slardar bashes after casting Corrosive Haze. See ability for details."

		"dac_ability_windrunner_3star"												"Windranger 3 Star Effect"
		"dac_ability_windrunner_3star_Description"									"Windranger gains evasion and Magic Immunity while casting Powershot. See ability for details."

		"dac_ability_witch_doctor_3star"											"Witch Doctor 3 Star Effect"
		"dac_ability_witch_doctor_3star_Description"								"Enemies hit by Paralyzing Cask are cursed with Maledict. See ability for details."

		"dac_ability_ember_spirit_3star"											"Ember Spirit 3 Star Effect"
		"dac_ability_ember_spirit_3star_Description"								"Sleight of Fist's area of effect radius is increased. See ability for details."

		"dac_ability_enigma_3star"													"Enigma 3 Star Effect"
		"dac_ability_enigma_3star_Description"										"Midnight Pulse's area of effect is increased. See ability for details."

		"dac_ability_wisp_3star"													"Io 3 Star Effect"
		"dac_ability_wisp_3star_Description"										"Relocate resets the revived hero's cooldowns."

		"dac_ability_lycan_3star"													"Lycan 3 Star Effect"
		"dac_ability_lycan_3star_Description"										"Shapeshift summons more wolves. See ability for details."

		"dac_ability_omniknight_3star"												"Omniknight 3 Star Effect"
		"dac_ability_omniknight_3star_Description"									"Purification's area of effect is increased. See ability for details."

		"dac_ability_shadow_shaman_3star"											"Shadow Shaman 3 Star Effect"
		"dac_ability_shadow_shaman_3star_Description"								"Shadow Shaman hexes the unit targeted by Mass Serpent Ward."

		"dac_ability_treant_protector_3star"										"3 Star Effect"
		"dac_ability_treant_protector_3star_Description"							"Units healed by Leech Seed gain Living Armor as well. See ability for details."

		"dac_ability_storm_spirit_3star"											"Storm Spirit 3 Star Effect"
		"dac_ability_storm_spirit_3star_Description"								"Storm gains Overload. Casting a spell creates an electrical charge which is released in a burst on Storm's next attack, dealing {s:damage} damage and slowing the target's Attack Speed by {s:attack_speed_loss} for {s:slow_duration} seconds. A Triangular Attack by Storm counts as an attack, in which case all units Storm hits in the Attack take the damage and are slowed."
		
		"dac_ability_legion_commander_3star"										"3 Star Effect"
		"dac_ability_legion_commander_3star_Description"							"At the start of a Duel, any enemies outside the Duel currently targeting Legion Commander will pick other targets for their regular attacks."

		"dac_ability_life_stealer_3star"											"Lifestealer 3 Star Effect"
		"dac_ability_life_stealer_3star_Description"								"Lifestealer gains Rage. On cast Lifestealer becomes Magic Immune and gains +{s:bonus_movement_speed_pct}% Move Speed and +{S:bonus_attack_speed} Attack Speed. The effects last for {s:duration} seconds."

		"dac_ability_snapfire_3star"												"Snapfire 3 Star Effect"
		"dac_ability_snapfire_3star_Description"									"Ol' Scatterblast also reduces enemy armor. See ability for details."

		"dac_ability_antimage_3star"												"Anti-Mage 3 Star Effect"
		"dac_ability_antimage_3star_Description"									"Anti-Mage's Mana Break does an extra {s:bonus_damage} damage to his target if his attack burns all remaining mana."

		"dac_ability_enchantress_3star"												"Enchantress 3 Star Effect"
		"dac_ability_enchantress_3star_Description"									"Enchantress becomes Untouchable. Each time an enemy attacks her she has a {s:chance}% chance of slowing their attack speed by {s:slow} for the duration of their attack."

		"dac_ability_phantom_assassin_3star"										"3 Star Effect"
		"dac_ability_phantom_assassin_3star_Description"							"Phantom Assassin gains the bonus of the current active level of Rogue Alliance, if any."

		"dac_ability_bounty_hunter_3star"											"Bounty Hunter 3 Star Effect"
		"dac_ability_bounty_hunter_3star_Description"								"Bounty Hunter will generate {s:gold} gold when killing an enemy hero."

		"dac_ability_kunkka_3star"													"Kunkka 3 Star Effect"
		"dac_ability_kunkka_3star_Description"										"Kunkka gains Tidebringer. Every {s:number} attacks, Kunkka takes a mighty swing and deals {s:damage} bonus damage to his target and cleaves for {s:cleave_pct}%."

		"dac_ability_alchemist_3star"												"Alchemist 3 Star Effect"
