"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatikus támadás"
		"dac_ability_granny_lizard_shotgun_blast"									"Vén Sörétszóró"
		"dac_ability_granny_lizard_shotgun_blast_description"						"4 alap támadás után Durrbele előkészíti sörétes puskáját, és rálő egy közeli ellenségre, kúp alakú területen {s:blast_damage} sebzést okozva és {s:blast_bonus_attack_speed}%-kal csökkenti az eltalált egységek támadási sebességét."
		"dac_ability_granny_lizard_shotgun_blast_lore"								"A buzgók mindig is jól értettek a hadviseléshez, márpedig a hadviselés az én üzleti területem. Talán lehet itt valamit üzletelni. - <i>Csöndes, üzleti angyal</i>"

		"dac_ability_granny_lizard_bazooka"											"Mortimer csókjai"
		"dac_ability_granny_lizard_bazooka_description"								"<i>A SÁRKÁNY SZÖVETSÉGGEL FELOLDVA</i>: Mortimer {s:projectile_count} tűzgolyót köp {s:cast_range} mezőn belül az ellenségekre. Mindegyik tűzgolyó {s:damage} sebzést okoz minden, a becsapódási helytől {s:impact_radius} mezőn belüli ellenségnek, és {s:burn_duration} másodpercre felgyújtja őket."
		"dac_ability_granny_lizard_bazooka_lore"									"Mi van, te akarod megmondani a hölgynek, hogy az az izé nem sárkány...? - <i>Grek, akit nem izgat a hitelesség</i>"

		// MANGO TREE
		"dac_ability_mango_tree_mango_throw"										"Mangódobás"
		"dac_ability_mango_tree_mango_throw_description"							"A csata kezdetén, majd azután {s:mango_production_interval} másodpercenként a mangófa legfeljebb {s:radius} mező távolságra egy mangót dob. Ha bármely egység megérint egy mangót, megeszi azt és 50 manát és 100 életerőt kap."
		"dac_ability_mango_tree_mango_throw_lore"									"Ne bámulj már így rám, csak gyümölcs. - <i>Anessix, kétségbeesetten küzdve a beskatulyázás ellen</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"A bandavezér szintjével nő."

		"dac_ability_anessix_summon_companions"										"Anessix démonpajtásai"
		"dac_ability_anessix_summon_companions_description"							"Anessix megidézi démoncsapatát. Ha mindkét démon meghal, újra megidézi őket."
		"dac_ability_anessix_summon_companions_lore"								"Nem árt az ismeretség... <i>Anessix, az alvilági kapcsolatokról</i>"

		"dac_ability_anessix_summon_golem"											"Démoni gólem idézése"
		"dac_ability_anessix_summon_golem_description"								"Anessix megidéz egy démoni gólemet, amely az ellenséges vonalak mögé ront, és 2 másodpercre megbénítja a 2 mezőn belüli összes ellenséget."
		"dac_ability_anessix_summon_golem_lore"										"Ugyan, én soha nem ölnélek meg... Arra való a segítség. - <i>Anessix, a kétes erkölcsű</i>"

		"dac_ability_anessix_passive"												"Passzív képesség"
		"dac_ability_anessix_passive_description"									"Anessix megidéz egy társat, hogy az oldalán harcoljon."

		"dac_ability_anessix_companion_archer_passive"								"Kritikus találat"
		"dac_ability_anessix_companion_archer_passive_description"					"PASSZÍV: a démoníjásznak minden támadáskor {s:chance}% esélye van {s:bonus}%-os kritikus találat okozására célpontján."
		"dac_ability_anessix_companion_archer_passive_lore"							"A társaim tudják, hogyan okozzanak kellemetlenséget. - <i>Anessix, a bársonykesztyűs vasököl</i>"

		"dac_ability_anessix_pure_pain"												"Tiszta fájdalom"
		"dac_ability_anessix_pure_pain_description"									"Anessix célba vesz egy véletlenszerű ellenséget, {s:damage} tiszta sebzést okozva másodpercenként, {s:duration} másodpercen át."
		"dac_ability_anessix_pure_pain_description_perlevel"						"Anessix célba vesz egy véletlenszerű ellenséget, {s:damage} tiszta sebzést okozva másodpercenként, {s:duration} másodpercen át."
		"dac_ability_anessix_pure_pain_lore"										"El fogod mondani, amit tudni akarok... - <i>Anessix, a barátságos figura</i>"

		"dac_ability_anessix_martyrs_boon"											"A mártír adománya"
		"dac_ability_anessix_martyrs_boon_description"								"Anessix maximális életerejének {s:selfdmg}%-ával megegyező sebzést szenved. Minden szövetséges egység {s:regen} ÉP-t gyógyul másodpercenként a következő {s:duration} másodpercben."
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"Anessix maximális életerejének {s:selfdmg}%-ával megegyező sebzést szenved. Minden szövetséges egység {s:regen} ÉP-t gyógyul másodpercenként a következő {s:duration} másodpercben."
		"dac_ability_anessix_martyrs_boon_lore"										"A kedvességem a kegyetlenségemhez mérhető. - <i>Anessix, a szívélyes munkaadó</i>"

		"dac_ability_anessix_enthrall"												"Elbűvölés"
		"dac_ability_anessix_enthrall_description"									"Anessix {s:target_duration} másodpercre célpontot jelöl ki, {s:armor_reduction} ponttal csökkentve annak páncélját, és a célpont támadására kényszerítve seregedet. Ha a célpont meghal, Anessix démonként visszahozza, hogy az mellette harcoljon."
		"dac_ability_anessix_enthrall_description_lore"								"Mostantól az enyém vagy. - <i>Anessix, ellenséges elbirtoklást foganatosítva</i>"

		"dac_ability_demon_warrior_bash"											"A harcos csapása"
		"dac_ability_demon_warrior_bash_description"								"Anessix társának {s:bash_chance}% esélye van célpontja {s:bash_duration} másodperces bénítására és további {s:bonus_chance_damage} sebzés okozására."
		"dac_ability_demon_warrior_bash_lore"										"Ha Anessixszel akarsz találkozni, át kell jutnod rajtam... - <i>Zúzós, démonszolga</i>"

		"dac_ability_hobgen_passive"												"Passzív képesség"
		"dac_ability_hobgen_passive_description"									"Hobgen támadása 3 másodpercre felgyújtja az ellenségeket."

		"dac_ability_hobgen_explosivo"												"Explosivo!"
		"dac_ability_hobgen_explosivo_description"									"Hobgen tűzgolyót lő egy célpontra, amely {s:damage_base} sebzést okoz egyenlően megosztva a szomszédos célpontok között, és felgyújtja azokat."
		"dac_ability_hobgen_explosivo_description_perlevel"							"Hobgen tűzgolyót lő egy célpontra, amely {s:damage_base} sebzést okoz egyenlően megosztva a szomszédos célpontok között, és felgyújtja azokat."
		"dac_ability_hobgen_explosivo_description_lore"								"Robbantsunk fel valamit! - <I>Hobgen, amatőr bontási vállalkozó</i>"

		"dac_ability_hobgen_supercharged"											"Felpörgetés"
		"dac_ability_hobgen_supercharged_description"								"Hobgen felpörgeti a legközelebbi baráti egységet, felgyújtva azt és {s:aspd} támadási sebességet adva neki."
		"dac_ability_hobgen_supercharged_description_perlevel"						"Hobgen felpörgeti a legközelebbi baráti egységet, felgyújtva azt és {s:aspd} támadási sebességet adva neki."
		"dac_ability_hobgen_supercharged_description_lore"							"Az embernek néha csak egy kis motiváció kell. - <i>Hobgen, képletesen és szó szerint feltüzelve valakit</i>"

		"dac_ability_hobgen_airstrike"												"Baráti tűz"
		"dac_ability_hobgen_airstrike_description"									"Hobgen haverjai {s:strikes} bombát dobnak a csatatérre, amelyek {s:damage} sebzést okoznak a közvetlenül eltalált ellenségeknek. A robbanási hatósugárban lévő ellenségek a sebzés felét szenvedik el."
		"dac_ability_hobgen_airstrike_description_lore"								"Égjen mind! - <i>Hobgen, őrült piromániás</i>"

		"dac_ability_hobgen_letsgocrazy"											"Vaduljunk"
		"dac_ability_hobgen_letsgocrazy_description"								"Hobgen támadásai mostantól elérik az egész csatateret, és teljes bandád {s:aspd} támadási sebességet kap. Hobgen folyamatosan célpontot vált olyan egységekre, amelyek nem égnek."
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"Hobgen támadásai mostantól elérik az egész csatateret, és teljes bandád {s:aspd} támadási sebességet kap. Hobgen folyamatosan célpontot vált olyan egységekre, amelyek nem égnek."
		"dac_ability_hobgen_letsgocrazy_description_lore"							"Szóval... azt akarod, hogy én legyek a rosszfiú, mi? Az menni fog. - <i>Hobgen tárgyalása Ennóval rossz irányt vesz</i>"

		"dac_ability_demon_warrior_protect"											"Harcos, védelmezz!"
		"dac_ability_demon_warrior_protect_description"								"A démon védelmezi Anessixet, blokkolva az ellene intézett távolsági támadásokat."
		"dac_ability_demon_warrior_protect_description_lore"						"Maradj mellettem, kedvesem... Sok erre a kellemetlen alak. - <i>Anessix, sétára indulva Fehér Toronyban</i>"

		"dac_ability_jull_passive"													"Passzív képesség"
		"dac_ability_jull_passive_description"										"Jull {s:armor_per_enemy} páncélt kap szomszédos egységenként, legyen az baráti vagy ellenséges."

		"dac_ability_jull_beeftron"													"Szedd össze magad"
		"dac_ability_jull_beeftron_description"										"Jull a kapott közelharci sebzés {s:melee_reflect_pct}%-át visszaveri az összes szomszédos ellenséges egységre, és az elmúlt {s:melee_reflect_window} másodpercben kapott közelharci sebzés {s:melee_heal_pct}%-ával, valamint a távolsági sebzés {s:ranged_heal_pct}%-ával gyógyul."
		"dac_ability_jull_beeftron_lore"											"Nem. Fogok. Megtörni! - <i>Jull, kínzással szembesülve is akaraterőt mutatva</i>"

		"dac_ability_jull_punchtron"												"Nyakleves"
		"dac_ability_jull_punchtron_description"									"Jull megüti jelenlegi ellenségét, {s:punch_damage} sebzést okozva és {s:punch_distance} mezővel odébb lökve azt pozíciójából. Az útban levő ellenségek {s:stun_duration} másodpercre megbénulnak és odébb lökődnek. Ha az ellenség eléri a tábla szélét, újból sebződik."
		"dac_ability_jull_punchtron_lore"											"Gyerünk, Agyaras! Itt volt az ideje. - <i>Régi barátok egy régi adósságot rendezve</i>"

		"dac_ability_jull_barrelsoffun"												"Hordónyi móka"
		"dac_ability_jull_barrelsoffun_description"									"Jull hordókat hív be a tábla széléről. Ha szövetségest találnak el, azok {s:attack_speed_buff_pct} támadási sebességet kapnak. Ha ellenséget találnak el, azok {s:barrel_dmg} fizikai sebzést szenvednek, valamint {s:damage_taken_debuff_pct}%-kal több mágikus és fizikai sebzést szenvednek el a harc további részében."
		"dac_ability_jull_barrelsoffun_lore"										"Nem lelem örömöm a saját termékem elpusztításában, de néha áldozatot kell hozni. - <i>Jull, az improvizálás mellett döntve</i>"

		"dac_ability_jull_happyhour"												"Koktélóra"
		"dac_ability_jull_happyhour_description"									"Jull bandád minden tagjának fizet egy kört. Sebződéskor annak {s:damage_distributed_pct}%-át azonnal elszenvedik, a többit pedig {s:damage_distributed_duration} másodperc alatt."
		"dac_ability_jull_happyhour_lore"											"Barátaim! Ma este én állom az italokat! - <i>Jull, a Meghasadt Hold tulajdonosa</i>"

		"dac_ability_enno_poison_spin"												"Méregforgás"
		"dac_ability_enno_poison_spin_description"									"Enno a magasba ugrik és méregnyilat lő ki {s:target_count}, {s:range} mezőn belüli ellenségre, egy összeadódásnyi Mérget alkalmazva, és összeadódásonként {s:damage} fizikai sebzést okozva."
		"dac_ability_enno_poison_spin_lore"											"Ne tévesszen meg a mérete… Enno veszélyesebb, mint amilyennek mutatja magát. – <i>Jull, látogatásra készülve a Gettóba</i>"

		"dac_ability_enno_escape_artist"											"Szabadulóművész"
		"dac_ability_enno_escape_artist_description"								"Az első alkalommal, amikor életereje {s:escape_health_pct_1}/{s:escape_health_pct_2}/{s:escape_health_pct_3}% alá esik, Enno füstfelhőbe burkolózva elmenekül, megtisztítja magát minden negatív hatástól, majd újra megjelenik máshol a táblán. Újra megjelenéskor {s:stun_duration} másodpercre megbénítja a szomszédos ellenségeket."
		"dac_ability_enno_escape_artist_lore"										"Valaki kapja el, és ölje meg azt a nyavalyást! – <i>Hobgen, szörnyen zaklatottan</i>"

		"dac_ability_enno_steal"													"Enyim!"
		"dac_ability_enno_steal_description"										"Enno a harc kezdetekor ellopja a legalacsonyabb szintű tárgyat az ellenséges bandától. Valahányszor egy ellenség meghal, kifosztja azt, ha az övénél jobb tárgya van felszerelve. A harc végén minden tárgy visszakerül eredeti tulajdonosához."
		"dac_ability_enno_steal_lore"												"Nézd, én a Titkok úrnője vagyok, nem csodatevő. Ha Enno elvett tőled valamit, nem fogod visszakapni, amíg rá nem un. – <i>Anessix, kezét mindig az erszényén tartva</i>"

		"dac_ability_enno_airbrawl"													"Totális támadás!"
		"dac_ability_enno_airbrawl_description"										"Enno totális támadást indít minden ellenség ellen, {s:stacks} összeadódásnyi Mérget alkalmazva, {s:fight_damage} fizikai sebzést okozva és {s:land_stun_duration} másodpercre megbénítva őket."
		"dac_ability_enno_airbrawl_lore"											"VIGYÉTEK INNEN EZT A SZŐRÖS ROHADÉKOT! – <i>Hobgen, leckét kapva alázatból</i>"
	}
}
