"lang"
{ 
	"Language" "romanian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-atac"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Spiritul Scânteii gonește cu o viteză covârșitoare, atacând toți inamicii aflați aflați la cel mult {s:cells} celule distanță, iar apoi se întoarce în locul din care a pornit. Atacurile cauzează {s:bonus_damage} de daune bonus."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Poate se luptă ca un demon, dar e un om de onoare. Cuvântul lui mi-e suficient. - <i>Jull, care arată că hoții au onoare</i>"

		"dac_ability_ember_spirit_element"											"Elementul focului"
		"dac_ability_ember_spirit_element_description"								"PASIV: Atunci când Spiritul Scânteii execută Impactul delta, acesta dă foc unităților inamice afectate."
		"dac_ability_ember_spirit_element_lore"										"Vreau să-l angajez. - <i>Hobgen, care recunoaște valoarea</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Strânsoare geomagnetică"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Spiritul Pământului invocă o statuie de piatră din afara hărții și o trage către ținta sa din prezent. Inamicii loviți de către statuia de piatră vor fi amuțiți timp de {s:silence_duration} secunde și vor primi {s:damage} de daune. La trei stele, inamicii sunt, de asemenea, năuciți timp de {s:stun_duration} secunde."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Îmi place când Kaolin vine în oraș. Dezgroapă cele mai fascinante chestii.  - <i>Carl, care caută provizii</i>"

		"dac_ability_earth_spirit_element"											"Elementul pământului"
		"dac_ability_earth_spirit_element_description"								"PASIV: Atunci când Spiritul Pământului execută Impactul delta, acesta amuțește unitățile inamice afectate."
		"dac_ability_earth_spirit_element_lore"										"Ce n-aș da ca să-l văd pe ăsta cum s-ar bate cu Wukong în ring... - <i>Grek, parior pe fantezii</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Disimilare"
		"dac_ability_void_spirit_dissimilate_description"							"Spiritul Vidului intră în eter, dispărând și creând 3 portaluri. După {s:disappear_duration} secunde, el părăsește unul dintre portaluri și cauzează {s:bonus_damage} de daune inamicilor aflați la {s:damage_distance} celulă distanță și le reduce armura cu {s:armor_reduction} timp de {s:armor_reduction_duration} secunde."
		"dac_ability_void_spirit_dissimilate_lore"									"N-ai cum să ieși din ascunziș fără vreun motiv întemeiat. Află de ce e aici.  - <i>Anessix, care caută un secret</i>"

		"dac_ability_void_spirit_element"											"Elementul vidului"
		"dac_ability_void_spirit_element_description"								"PASIV: Atunci când Spiritul Vidului execută Impactul delta, acesta perturbă unitățile inamice afectate."
		"dac_ability_void_spirit_element_lore"										"Ai grijă pe unde calci pe lângă ăla, Slark.  - <i>Momentul în care Jull oferă niște sfaturi prietenești</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Bombicel"
		"dac_ability_granny_lizard_shotgun_blast_description"						"După 4 atacuri, Flăcărica își pregătește pușca, atacând un inamic din apropiere și cauzând {s:blast_damage} de daune într-un con, încetinind viteza de atac a unităților afectate cu {s:blast_bonus_attack_speed}. Efectul durează {s:debuff_duration} secunde. La trei stele, unitățile afectate pierd și {s:blast_armor_loss} armură."
		"dac_ability_granny_lizard_shotgun_blast_lore"								"Brejii au avut întotdeauna o minte fascinantă pentru război, iar războiul este specialitatea mea. Poate putem încheia niște afaceri.  - <i>Liniște, investitor fără interese</i>"

		"dac_ability_granny_lizard_bazooka"											"Pupicii lui Mortimer"
		"dac_ability_granny_lizard_bazooka_description"								"<i>DEBLOCAT DE ALIANȚA DRAGONILOR</i>: Mortimer scuipă {s:projectile_count} sfere către inamici. Fiecare sferă cauzează {s:damage} de daune tuturor inamicilor aflați la o distanță de cel mult {s:impact_radius} celulă față de zona impact și îi incendiază timp de {s:burn_duration} secunde. Inamicii, de asemenea, pierd {s:attack_slow} viteză de atac pentru {s:attack_slow_duration} secunde."
		"dac_ability_granny_lizard_bazooka_lore"									"Ce? Vrei să spui cucoanei că chestia aia nu e un dragon? - <i>Grek, care nu e îngrijorat de autenticitate</i>"

		// MANGO TREE
		"dac_ability_mango_tree_mango_throw"										"Aruncare de mango"
		"dac_ability_mango_tree_mango_throw_description"							"La începutul luptei și la fiecare {s:mango_production_interval} secunde după, Manghierul aruncă un mango la cel mult {s:radius} celule distanță. Mangoul va fi mâncat de orice unitate care-l atinge, iar unitatea va primi 50 mana și 100 viață."
		"dac_ability_mango_tree_mango_throw_lore"									"Nu te uita așa la mine, e doar un fruct. - <i>Momentul în care Anessix se luptă cu disperare împotriva stereotipurilor</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"Se scalează cu lordul"

		"dac_ability_anessix_summon_companions"										"Amicii demonici ai lui Anessix"
		"dac_ability_anessix_summon_companions_description"							"Anessix își invocă grupul de demoni. Dacă ambii demoni mor, ea îi va invoca din nou."
		"dac_ability_anessix_summon_companions_lore"								"Se merită să știi oameni... - <i>Anessix, cea cu contacte din subteran</i>"

		"dac_ability_anessix_summon_golem"											"Invocă un golem demonic"
		"dac_ability_anessix_summon_golem_description"								"Anessix invocă un Golem demonic care se prăbușește în spatele inamicilor și năucește toți inamicii aflați la cel mult 2 celule distanță timp de 2 secunde."
		"dac_ability_anessix_summon_golem_lore"										"Te rog, nu te-aș ucide niciodată... de asta mi-am luat ajutoare. - <i>Anessix, cea cu moralitate îndoielnică</i>"

		"dac_ability_anessix_passive"												"Abilitate pasivă"
		"dac_ability_anessix_passive_description"									"Anessix invocă un companion care să lupte de partea ei."

		"dac_ability_anessix_companion_archer_passive"								"Lovitură critică"
		"dac_ability_anessix_companion_archer_passive_description"					"PASIV: Arcașul demonic are o șasă de {s:chance}% de a cauza inamicului său o lovitură critică de {s:bonus}% în urma fiecărui atac."
		"dac_ability_anessix_companion_archer_passive_lore"							"Asociații mei știu cum să creeze o situație neplăcută. - <i>Anessix, cea cu pumnul de fier în mănușă de catifea</i>"

		"dac_ability_anessix_pure_pain"												"Durere pură"
		"dac_ability_anessix_pure_pain_description"									"Anessix țintește o unitate inamică, cauzând {s:damage} de daune pure în fiecare secundă, timp de {s:duration} secunde."
		"dac_ability_anessix_pure_pain_description_perlevel"						"Anessix țintește o unitate inamică, cauzând {s:damage} de daune pure în fiecare secundă, timp de {s:duration} secunde."
		"dac_ability_anessix_pure_pain_lore"										"Îmi vei spune ce trebuie să știu... - <i>Anessix, persoană sociabilă</i>"

		"dac_ability_anessix_martyrs_boon"											"Binecuvântarea martirului"
		"dac_ability_anessix_martyrs_boon_description"								"Anessix încasează daune în valoare de {s:selfdmg}% din maximul vieții sale. Toate unitățile aliate primesc o regenerare a vieții de {s:regen} de puncte pe secundă timp de {s:duration} secunde."
		"dac_ability_anessix_martyrs_boon_description_perlevel"						"Anessix încasează daune în valoare de {s:selfdmg}% din maximul vieții sale. Toate unitățile aliate primesc o regenerare a vieții de {s:regen} de puncte pe secundă timp de {s:duration} secunde."
		"dac_ability_anessix_martyrs_boon_lore"										"Blândețea mea e pe măsura cruzimii mele.  - <i>Anessix, angajatoare binevoitoare</i>"

		"dac_ability_anessix_enthrall"												"Înrobire"
		"dac_ability_anessix_enthrall_description"									"Anessix marchează o țintă timp de {s:target_duration} secunde, reducându-i armura cu {s:armor_reduction} și forțându-ți trupele să o atace. Dacă ținta moare, Anessix va reînvia victima ca demon ca să lupte pentru ea."
		"dac_ability_anessix_enthrall_description_lore"								"Acum îmi aparții. - <i>Momentul în care Anessix preia controlul în mod agresiv</i>"

		"dac_ability_demon_warrior_bash"											"Impactul războinicului"
		"dac_ability_demon_warrior_bash_description"								"Combatantul demonic are o șansă de {s:bash_chance}% de a-și năuci ținta timp de {s:bash_duration} secunde și de a cauza {s:bonus_chance_damage} de daune suplimentare."
		"dac_ability_demon_warrior_bash_lore"										"Dacă vrei s-o vezi pe Anessix, va trebui să treci de mine... - <i>Brill, rob demonic</i>"

		"dac_ability_hobgen_passive"												"Abilitate pasivă"
		"dac_ability_hobgen_passive_description"									"Atacurile lui Hobgen incendiază inamicii timp de 3 secunde."

		"dac_ability_hobgen_explosivo"												"Exploziv!"
		"dac_ability_hobgen_explosivo_description"									"Hobgen lansează o sferă de foc către o țintă și cauzează {s:damage_base} de daune împărțite în mod egal tuturor țintelor adiacente și le incendiază."
		"dac_ability_hobgen_explosivo_description_perlevel"							"Hobgen lansează o sferă de foc către o țintă și cauzează {s:damage_base} de daune împărțite în mod egal tuturor țintelor adiacente și le incendiază."
		"dac_ability_hobgen_explosivo_description_lore"								"Să aruncăm ceva-n aer. - <I>Hobgen, demolator amator</i>"

		"dac_ability_hobgen_supercharged"											"Superîncărcare"
		"dac_ability_hobgen_supercharged_description"								"Hobgen superîncarcă cea mai apropiată unitate aliată, dându-i foc și oferindu-i {s:aspd} viteză de atac."
		"dac_ability_hobgen_supercharged_description_perlevel"						"Hobgen superîncarcă cea mai apropiată unitate aliată, dându-i foc și oferindu-i {s:aspd} viteză de atac."
		"dac_ability_hobgen_supercharged_description_lore"							"Câteodată, oamenii au nevoie de puțină motivație. - <i>Momentul în care Hobgen aprinde un foc literal și metaforic=</i>"

		"dac_ability_hobgen_airstrike"												"Prieteni cu focul"
		"dac_ability_hobgen_airstrike_description"									"Amicii lui Hobgen aruncă {s:strikes} bombe pe câmpul de luptă, cauzând {s:damage} de daune inamicilor prinși în explozie."
		"dac_ability_hobgen_airstrike_description_lore"								"Ardeți tot! - <i>Hobgen, piroman înrăit</i>"

		"dac_ability_hobgen_letsgocrazy"											"Să înceapă mania"
		"dac_ability_hobgen_letsgocrazy_description"								"Atacurile lui Hobgen acum pot nimeri pe oricine de pe câmpul de luptă, iar întreaga ta gașcă primește {s:aspd} viteză de atac. Hobgen va ataca continuu alte ținte care nu sunt incendiate."
		"dac_ability_hobgen_letsgocrazy_description_perlevel"						"Atacurile lui Hobgen acum pot nimeri pe oricine de pe câmpul de luptă, iar întreaga ta gașcă primește {s:aspd} viteză de atac. Hobgen va ataca continuu alte ținte care nu sunt incendiate."
		"dac_ability_hobgen_letsgocrazy_description_lore"							"Deci... vrei să fiu ăla rău, hm? Se rezolvă. - <i>Momentul în care negocierea cu Enno ia o întorsătură nedorită</i>"

		"dac_ability_demon_warrior_protect"											"Protecția războinicului"
		"dac_ability_demon_warrior_protect_description"								"Demonul o va proteja pe Anessix, blocând atacurile la distanță împotriva ei."
		"dac_ability_demon_warrior_protect_description_lore"						"Stai lângă mine, dragă... avem indezirabili prin preajmă. - <i>Momentul în care Anessix se plimbă prin Spira Albă</i>"

		"dac_ability_jull_passive"													"Abilitate pasivă"
		"dac_ability_jull_passive_description"										"Jull primește {s:armor_per_enemy} armură pentru fiecare unitate adiacentă, aliată sau inamică."

		"dac_ability_jull_beeftron"													"N-am simțit nimic"
		"dac_ability_jull_beeftron_description"										"Jull reflectă {s:melee_reflect_pct}% din daunele primite de la atacuri de tip meleu înapoi către toate unitățile inamice adiacente și se vindecă cu {s:melee_heal_pct}% din daunele de tip meleu și {s:ranged_heal_pct}% din daunele de la atacurile de la distanță primite în ultimele {s:melee_reflect_window} secunde."
		"dac_ability_jull_beeftron_lore"											"Nu. Voi. Fi. Înfrânt! - <i>Momentul în care Jull arată cum face față torturii</i>"

		"dac_ability_jull_punchtron"												"Căsăpeală"
		"dac_ability_jull_punchtron_description"									"Jull își pocnește inamicul din prezent, cauzând {s:punch_damage} de daune și împingându-l {s:punch_distance} celule față de poziția sa inițială. Inamicii din cale sunt năuciți timp de {s:stun_duration} secundă și se vor muta. Dacă inamicul se lovește de marginea tablei, acesta va încasa daune din nou."
		"dac_ability_jull_punchtron_lore"											"Haide, Ivoriu. A trecut prea mult timp. - <i>Momentul în care niște prieteni vechi rezolvă o dispută mai veche</i>"

		"dac_ability_jull_barrelsoffun"												"Butoaie pline de distracție"
		"dac_ability_jull_barrelsoffun_description"									"Jull cheamă butoaie dinspre marginile tablei. Dacă acestea lovesc un aliat, el va primi {s:attack_speed_buff_pct} viteză de atac. Dacă acestea lovesc un inamic, el va încasa {s:barrel_dmg} de daune fizice și va primi cu {s:damage_taken_debuff_pct}% mai multe daune magice și fizice până la sfârșitul luptei."
		"dac_ability_jull_barrelsoffun_lore"										"Nu-mi face plăcere să-mi distrug propriile produse, dar uneori, mai trebuie să faci și sacrificii. - <i>Momentul în care Jull decide să improvizeze</i>"

		"dac_ability_jull_happyhour"												"Ora veselă"
		"dac_ability_jull_happyhour_description"									"Jull cinstește toți membrii găștii tale. Atunci când încasează daune, {s:damage_distributed_pct}% din acestea sunt primite imediat, iar restul sunt încasate de-a lungul a {s:damage_distributed_duration} secunde."
		"dac_ability_jull_happyhour_lore"											"Prieteni! Noaptea asta fac cinste! - <i>Jull, proprietarul Lunii Sfărâmate</i>"

		"dac_ability_enno_poison_spin"												"Salt otrăvitor"
		"dac_ability_enno_poison_spin_description"									"Enno sare și lansează câte o săgeată otrăvită către cel mult {s:target_count} inamici aflați la cel mult {s:range} celule distanță, aplicând o suprapunere de otravă și cauzând {s:damage} de daune fizice per suprapunere."
		"dac_ability_enno_poison_spin_lore"											"Nu te lăsa păcălit de dimensiunea sa... Enno e mai periculos decât pare. – <i>Momentul în care Jull se pregătește să viziteze Vizuinele</i>"

		"dac_ability_enno_escape_artist"											"Maestru al evadării"
		"dac_ability_enno_escape_artist_description"								"Prima dată când viața sa scade sub {s:escape_health_pct_1}/{s:escape_health_pct_2}/{s:escape_health_pct_3}%, Enno dispare într-un nor de fum, scapă de toate efectele negative aplicate acestuia și reapare altundeva pe tablă. Atunci când Enno aterizează, inamicii din jurul lui vor fi năuciți timp de {s:stun_duration} secunde."
		"dac_ability_enno_escape_artist_lore"										"Cineva să prindă piticania aia și s-o omoare! – <i>Hobgen, extrem de iritat</i>"

		"dac_ability_enno_steal"													"Țaca-paca!"
		"dac_ability_enno_steal_description"										"Enno fură la începutul luptei obiectul de nivelul cel mai mic din gașca inamică. Oricând un inamic moare, Enno fură obiectul inamicului dacă acesta avea echipat un obiect mai bun. Toate obiectele vor fi returnate proprietarilor de drept la sfârșitul luptei."
		"dac_ability_enno_steal_lore"												"Uite, sunt Stăpâna secretelor, nu a miracolelor: dacă Enno a luat ceva de la tine, îl primești înapoi numai după ce se plictisește de pradă. – <i>Anessix, cea care stă mereu cu mâna pe poșeta sa</i>"

		"dac_ability_enno_airbrawl"													"Atac în toată regula!"
		"dac_ability_enno_airbrawl_description"										"Enno lansează un Atac în toată regula împotriva tuturor inamicilor, adăugând {s:stacks} suprapuneri de otravă, cauzând {s:fight_damage} de daune fizice și năucindu-i timp de {s:land_stun_duration} secunde."
		"dac_ability_enno_airbrawl_lore"											"LUAȚI NENOROCIREA ASTA BLĂNOASĂ DE LÂNGĂ MINE! - <i>Momentul în care Hobgen învață despre umilință</i>"


		// **** New Rotation

		// VENGEFULSPIRIT
		"dac_ability_vengefulspirit_wave_of_terror"								"Valul terorii"
		"dac_ability_vengefulspirit_wave_of_terror_Description"					"Spiritul Răzbunător scoate un țipăt nefast într-o linie dreaptă, cauzând {s:projectile_damage} de daune inamicilor din cale și reducându-le armura cu {s:armor_loss} timp de {s:duration} secunde."
		"dac_ability_vengefulspirit_wave_of_terror_Lore"									"Crede-mă, știu câte ceva despre răzbunare... dacă mă ajuți să pun mâna pe Spira Albă, promit că Spira Albă te va ajuta să o înfrunți pe Imperia. -<i>Momentul în care Hobgen bate palma</i>"
		"dac_ability_vengefulspirit_3star"										"Efect de 3 stele"
		"dac_ability_vengefulspirit_3star_Description"							"Atunci când Spiritul Răzbunător moare, ea cauzează {s:damage} de daune tuturor inamicilor aflați la cel mult {s:radius} celule depărtare."

		// MEEPO
		"dac_ability_meepo_poof"												"Puf"
		"dac_ability_meepo_poof_Description"									"Mipo se teleportează lângă un inamic aleatoriu, cauzând {s:damage} de daune tuturor unităților inamice adiacente."		
		"dac_ability_meepo_poof_Lore"									"Nu vă duceți după el în Vizuine. Dacă-l protejează Enno, nu o să vă mai întoarceți în viață. - <i>Momentul în care Jull decide să lase un trișor să scape</i>"
		"dac_ability_meepo_divided_we_stand"									"Rămânem răsfirați"
		"dac_ability_meepo_divided_we_stand_Description"						"Oricând Mipo invocă o abilitate, el creează o copie a sa cu aceeași viață pe care acesta o are în prezent. Dacă Mipo sau orice clonă moare, toți Mipo mor."
		"dac_ability_meepo_divided_we_stand_Lore"									"Alteță, Mipo 2 încearcă să joace la zaruri din nou, sigur este o idee bună să le oferim adăpost? - <i>Momentul în care IipIip își exprimă îngrijorarea cu privire la musafirii alteței sale</i>"
		"dac_ability_meepo_3star"												"Efect de 3 stele"
		"dac_ability_meepo_3star_Description"									"Clonele lui Mipo copiază și obiectul lui Mipo, de asemenea."
 									
		// SPIRIT BREAKER
		"dac_ability_spirit_breaker_charge_of_darkness"							"Șarja întunericului"
		"dac_ability_spirit_breaker_charge_of_darkness_Description"				"Pustiitorul de Suflete șarjează către un inamic îndepărtat, lovindu-l pe acesta și pe inamicii din calea sa, cauzându-le {s:damage} de daune și năucindu-i timp de {s:stun_duration} secunde."
		"dac_ability_spirit_breaker_charge_of_darkness_Lore"									"Stai cu ochii pe ăla... vreau să știu de ce e aici. - <i>Momentul în care lui Hobgen nu-i place să fie lăsat în ceață </i>"
		"dac_ability_spirit_breaker_3star"										"Efect de 3 stele"
		"dac_ability_spirit_breaker_3star_Description"							"Pustiitorul de Suflete dobândește Impactul zguduitor. Atacurile Pustiitorului de Suflete au o șansă de {s:bash_chance}% de a cauza {s:damage} de daune suplimentare și a năuci ținta timp de {s:bash_duration} secunde."

		// SPECTRE
		"dac_ability_spectre_spectral_dagger"									"Pumnal spectral"
		"dac_ability_spectre_spectral_dagger_Description"						"Spectru aruncă un pumnal către un erou inamic, cauzând {s:damage} de daune și creând o cărare umbrită care încetinește viteza de mișcare a unităților inamice cu {s:move_slow_pct}% și viteza de atac cu {s:attack_slow} timp de {s:path_duration} secunde. Spectru fuge să atace unitatea aceasta și primește {s:bonus_aspd} viteză de atac, {s:bonus_move_pct}% viteză de mișcare bonus și mișcare fazică timp de {s:speed_duration} secunde."
		"dac_ability_spectre_spectral_dagger_Lore"									"Pentru tine, trecutul tău e un mister... pentru mine, e prea clar. Slujește-mă și-ți voi oferi răspunsurile pe care le cauți. - <i>Turath, cu cultul personalității </i>"
		"dac_ability_spectre_3star"												"Efect de 3 stele"
		"dac_ability_spectre_3star_Description"									"Cât timp Spectru trăiește, oricând un demon folosește o vrajă, toți demonii aliați iau foc și-și învăluie țintele în flăcări, cauzând {s:damage} de daune în zone mari și incendiind unitățile lovite."

		// DEATH PROPHET
		"dac_ability_death_prophet_exorcism"									"Exorcism"
		"dac_ability_death_prophet_exorcism_Description"						"Vestitoarea Morții trimite un număr de până la {s:number} spirite malefice timp de {s:spirit_duration} secunde. Acestea cutreieră câmpul de luptă la o distanță de cel mult {s:radius} celulă, cauzând {s:damage} de daune tuturor inamicilor prin care trec, după care se întorc și o vindecă pe Vestitoarea Morții cu {s:heal_percent}% din daunele cauzate."
		"dac_ability_death_prophet_exorcism_Lore"									"Criminali de care știu că se descurcă cu... morții? Asta-i ceva care n-am în taraba mea. - <i>Momentul în care Jull n-are idee cum să omoare ceva care e deja mort</i>"

		// PANGOLIER
		"dac_ability_pangolier_shield_crash"									"Impactul scutului"
		"dac_ability_pangolier_shield_crash_Description"						"Pangolier sare și se izbește de sol, cauzând {s:damage} de daune inamicilor aflați la cel mult {s:radius} celulă distanță și reducând daunele primite cu {s:reduction_pct_per_enemy}% pentru fiecare inamic lovit timp de {s:duration} secunde. După salt, toți inamicii din zona de atac îl vor ținti pe Pangolier."
		"dac_ability_pangolier_shield_crash_Lore"									"De fapt, haide să instalăm candelabrul după ce Donté pleacă din oraș... - <i>Jull, remodelator cugetat</i>"

		// RUBICK
		"dac_ability_rubick_fade_bolt"											"Trăsnet atenuant"
		"dac_ability_rubick_fade_bolt_Description"								"Rubick creează o undă puternică de energie cabalistică care lovește o țintă și sare de {s:jumps} ori, cauzând {s:damage} de daune și reducând daunele de atac ale țintelor cu {s:damage_reduction_pct}% timp de {s:duration} secunde."
		"dac_ability_rubick_fade_bolt_Lore"									"Suntem meniți să lucrăm împreună, Rubick, amândoi suntem imprevizibili. - <i>Momentul în care Hobgen încearcă o argumentare îndoielnică</i>"
		"dac_ability_rubick_spell_steal"										"Furt de vrajă"
		"dac_ability_rubick_spell_steal_Description"							"PASIV: Oricând o unitate inamică aflată la cel mult {s:radius} celule distanță invocă o vrajă, Rubick va invoca o copie a acelei vrăji folosind nivelul său de stele din prezent." 
		"dac_ability_rubick_spell_steal_Lore"									"Cu puterea ta și cu resursele mele, nimic nu ne poate opri. - <i>Momentul în care Anessix curtează vrăjitorul grandios</i>"
		
		// WRAITH KING
		"dac_ability_wraith_king_wraithfire_blast"								"Flacăra nălucilor"
		"dac_ability_wraith_king_wraithfire_blast_Description"					"Regele Nălucilor arde un inamic aflat la cel mult {s:fallback_range} celule cu o flamă fantomatică, năucindu-l timp de {s:stun_duration} secunde și cauzându-i {s:damage} de daune pe secundă timp de {s:damage_duration} secunde."
		"dac_ability_wraith_king_wraithfire_blast_Lore"									"Doresc să-l întâlnesc pe Regele Nălucilor... orice persoană care se pricepe la incendierea oamenilor, este o persoană pe care vreau s-o cunosc. - <i>Hobgen, care știe când să respecte o persoană</i>"
		"dac_ability_wraith_king_raise_dead"									"Trezirea morților"
		"dac_ability_wraith_king_raise_dead_Description"						"PASIV: Eroii invocă zombi atunci când mor la o distanță de cel mult {s:range} celule față de Regele Nălucilor"
		"dac_ability_wraith_king_raise_dead_Lore"									"Ostarion, vom face niște lucruri incredibil de îngrozitoare împreună. - <i>Anessix, cu ochii pe coroană</i>"


		// 3star abilities
		"dac_ability_3star"															"Efect de 3 stele"

		"dac_ability_warlock_3star"													"Efect de 3 stele"
		"dac_ability_warlock_3star_Description"										"Cât timp se află în viață, Magul Demonic împiedică demonii aliați să se amuțească reciproc atunci când invocă abilități."

		"dac_ability_razor_3star"													"Efect de 3 stele"
		"dac_ability_razor_3star_Description"										"Tăiș dobândește Legătura statică. De fiecare dată când Tăiș atacă un inamic, acesta fură {s:stolen_dmg} daune de atac, până la un maxim de {s:max_stacks} ori. Atunci când Tăiș schimbă ținta, acesta va pierde daunele pe care le-a furat, însă inamicul nu le va recupera."

		"dac_ability_chaos_knight_3star"											"Efect de 3 stele"
		"dac_ability_chaos_knight_3star_Description"								"Cât timp Cavalerul Haosului se află în viață, cavalerii aliați ai acestuia sunt considerați întotdeauna ca adiacenți față de un alt cavaler aliat."

		"dac_ability_crystal_maiden_3star"											"Efect de 3 stele"
		"dac_ability_crystal_maiden_3star_Description"								"Cât timp Fecioara Cristalină se află în viață, toți aliații au repausurile reduse cu {s:cooldown_reduction}%."

		"dac_ability_terrorblade_3star"												"Efect de 3 stele"
		"dac_ability_terrorblade_3star_Description"									"Teroare poate invoca o energie demonică pentru a dobândi +{s:damage_bonus_pct}% daune pure împotriva demonilor inamici. Bonusul are o durată de {s:duration} secunde pentru fiecare invocare."

		"dac_ability_tiny_3star"													"Efect de 3 stele"
		"dac_ability_tiny_3star_Description"										"Micuțu' va crește de fiecare dată când aruncă un inamic, primind +{s:bonus_damage} daune de atac și +{s:bonus_armor} armură, pierzând în schimb {s:aspd_loss} viteză de atac, până la un maxim de {s:max_stacks} ori."

		"dac_ability_luna_3star"													"Efect de 3 stele"
		"dac_ability_luna_3star_Description"										"Luna obține Eclipsa. Atunci când Luna are nevoie, Selemene blochează lumina pe o rază de {s:radius} celule în jurul Lunei și asediază inamicii cu {s:beams} fascicule de lumină lunară, una la fiecare {s:beam_interval} secunde. Fiecare fascicul cauzează {s:beam_damage} de daune și năucește timp de {s:beam_stun} secunde, iar fiecare unitate inamică poate fi lovită de un maxim de {s:hit_count} fascicule."

		"dac_ability_dazzle_3star"													"Efect de 3 stele"
		"dac_ability_dazzle_3star_Description"										"Licăr oferă câte un Mormânt superficial tuturor unităților aliate aflate la cel mult {s:never_die_range} celulă distanță. Toate unitățile binecuvântate supraviețuiesc încă {s:never_die_duration} secunde după primirea loviturii finale."

		"dac_ability_broodmother_3star"												"Efect de 3 stele"
		"dac_ability_broodmother_3star_Description"									"Cât timp este în viață, Muma Roiului face invulnerabili toți păianjenii aliați."

		"dac_ability_pudge_3star"													"Efect de 3 stele"
		"dac_ability_pudge_3star_Description"										"Slană devine un Morman de carne și dobândește un maxim de {s:bonus_health_per_death} de viață și o rezistență de {s:magical_resistance}% la magie de fiecare dată când un inamic moare la cel mult {s:radius} celulă distanță față de el."

		"dac_ability_viper_3star"													"Efect de 3 stele"
		"dac_ability_viper_3star_Description"										"Vipera realizează o Lovitură de viperă la fiecare {s:num_attacks} atacuri. Unitatea inamică încasează {s:damage} de daune pe secundă și pierde {s:bonus_movement_speed}% din viteza de mișcare și {s:bonus_attack_speed} din viteza de atac, efectul încetinirii diminuându-se de-a lungul duratei de {s:debuff_duration} secunde."

		"dac_ability_beastmaster_3star"												"Efect de 3 stele"
		"dac_ability_beastmaster_3star_Description"									"Stăpânul Dihăniilor încasează cu {s:damage_reduction}% mai puține daune de la unitățile invocate și devine imun la orice efect magic din partea acestora."

		"dac_ability_juggernaut_3star"												"Efect de 3 stele"
		"dac_ability_juggernaut_3star_Description"									"Cât timp Demolatorul este în viață, toți eroii aliați primesc {s:bonus_health_pct}% din viața maximă a Demolatorului."

		"dac_ability_queenofpain_3star"												"Efect de 3 stele"
		"dac_ability_queenofpain_3star_Description"									"Regina Durerii farmecă inamicii din apropiere, având o șansă de {s:evasion}% de a evita atacurile inamicilor aflați la cel mult {s:radius} celule distanță."

		"dac_ability_drow_ranger_3star"												"Efect de 3 stele"
		"dac_ability_drow_ranger_3star_Description"									"Săgețile Pădurașei Drow devin Săgeți de gheață. Aceste săgeți încetinesc viteza de mișcare a unității lovite cu {s:move_speed_loss}% și viteza de atac cu {s:attack_speed_loss}. Efectul persistă {s:slow_duration} secunde."

		"dac_ability_abaddon_3star"													"Efect de 3 stele"
		"dac_ability_abaddon_3star_Description"										"Avadon dobândește abilitatea de a aplica Blestemul Avernusului asupra inamicilor atacați. De îndată ce Avadon a atacat aceeași unitate inamică de {s:min_stacks} ori consecutiv, acea unitate este amuțită timp de {s:silence_duration} secunde, iar Avadon primește +{s:attack_speed} viteză de atac împotriva țintei. Bonusul acesta este reîmprospătat după fiecare atac suplimentar nimerit, dar Avadon pierde bonusul atunci când schimbă ținta."

		"dac_ability_bloodseeker_3star"												"Efect de 3 stele"
		"dac_ability_bloodseeker_3star_Description"									"Iscoada Sângerie primește bonusul pentru lovituri critice de la nivelul activ din prezent al alianței asasinilor, dacă aceasta există."

		"dac_ability_morphling_3star"												"Efect de trei stele"
		"dac_ability_morphling_3star_Description"									"Acvamarin primește bonusurile din timpul luptelor de la toate alianțele active inamice, ca și cum ar fi un campion inamic."

		"dac_ability_shadow_fiend_3star"											"Efect de 3 stele"
		"dac_ability_Shadow_fiend_3star_Description"								"Năpasta Umbrelor dobândește Prezența Lordului Întunecat. Inamicii aflați la cel mult {s:radius} celule distanță au armura redusă cu {s:armor_reduction} din cauza prezenței terifiante a Năpastei Umbrelor."

		"dac_ability_magnataur_3star"												"Efect de 3 stele"
		"dac_ability_magnataur_3star_Description"									"Magnus dobândește Polaritatea inversă. Când folosește abilitatea, inamicii aflați la cel mult {s:radius} celule distanță încasează {s:damage} de daune și sunt năuciți timp de {s:duration} secundă."

		"dac_ability_arc_warden_3star"												"Efect de 3 stele"
		"dac_ability_arc_warden_3star_Description"									"Clonele Dublurii furtunoase copiază obiectul Străjerului Voltaic."

		"dac_ability_bat_rider_3star"												"Efect de 3 stele"
