"lang"
{
	"Language"		"danish"
	"Tokens"
	{
		"DAC_ItemType_Barricade_Skin"		"Skin til barrikade"
		"DAC_Item_S1MapProp52_desc"		"Den \"mystiske blå boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp53"		"Musiknode – B"
		"DAC_Item_S1MapProp53_desc"		"Den \"mystiske lilla boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp54"		"Musiknode – det høje C"
		"DAC_Item_S1MapProp54_desc"		"Denne musikalske boks viser, hvor god bogen bliver."
		"DAC_Item_S1MapProp55"		"Ricky-statue"
		"DAC_Item_S1MapProp55_desc"		"Ricky Ravnekrog siger: Så du tror, du har fået en overboss? Så skulle du møde min svigermor!<br><br>Låst op for spillere, som har købt Battle Passet."
		"DAC_Item_S1MapProp56"		"Forgyldt Ricky"
		"DAC_Item_S1MapProp56_desc"		"Ricky Ravnekrog siger: Udenretlig fængsling er en del af hverdagen i Det Hvide Spir!<br><br>Låst op for betaspillere, som har nået level 5 i Protopasset."
		"DAC_Item_S1TargetBuddyRewardBox"		"Tilfældig skydeskive"
		"DAC_Item_S1TargetBuddyRewardBox_desc"		"incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,"
		"DAC_Item_S1TargetBuddySkin00"		"Skydeskive"
		"DAC_Item_S1TargetBuddySkin00_desc"		"Lånt fra Kunkkas hytte."
		"DAC_Item_S1TargetBuddySkin01"		"Bøddelen"
		"DAC_Item_S1TargetBuddySkin01_desc"		"Den Gode tester altid nye varer for Bøddelen."
		"DAC_Item_S1TargetBuddySkin02"		"Krystalkvinden"
		"DAC_Item_S1TargetBuddySkin02_desc"		"En sød rekvisit fra Gletsjerlandet. Populær hos børn, knap så populær hos Lina."
		"DAC_Item_S1TargetBuddySkin03"		"Fugleskræmsel"
		"DAC_Item_S1TargetBuddySkin03_desc"		"Frygtgas medfølger ikke."
		"DAC_Item_S1TargetBuddySkin04"		"Snemandsven"
		"DAC_Item_S1TargetBuddySkin04_desc"		"Selv snemændene i Det Hvide Spir er uhyggelige."
		"DAC_Item_S1TargetBuddySkin05"		"Kolossen"
		"DAC_Item_S1TargetBuddySkin05_desc"		"Selv i denne overdådige udgave nægter Yurnero at tage masken af."
		"DAC_Item_S1TargetBuddySkin06"		"Anessix"
		"DAC_Item_S1TargetBuddySkin06_desc"		"Hobgens forbrug af disse er helt vanvittigt."
		"DAC_Item_S1TargetBuddySkin07"		"Enno"
		"DAC_Item_S1TargetBuddySkin07_desc"		"Nogle gange sætter Enno disse i sine rivalers vinduer om natten bare for at være uhyggelig."
		"DAC_Item_S1TargetBuddySkin08"		"Hobgen"
		"DAC_Item_S1TargetBuddySkin08_desc"		"Hobgen tænker hele tiden på at sende en til Mireska."
		"DAC_Item_S1TargetBuddySkin09"		"Jull"
		"DAC_Item_S1TargetBuddySkin09_desc"		"Det kræver virkelig talent at sy disse jakkesæt."
		"DAC_Item_S1Teleport01"		"Nu ser du mig..."
		"DAC_Item_S1Teleport01_desc"		"Det Hvide Spirs yndlingsravnekrog roder sig altid ud af problemer."
		"DAC_Item_S1Teleport02"		"Blodig valentin"
		"DAC_Item_S1Teleport02_desc"		"Dine enheder er måske døde, men romantikken lever i bedste velgående."
		"DAC_Item_S1Teleport03"		"Lynfrysning"
		"DAC_Item_S1Teleport03_desc"		"Giv dem en kold modtagelse."
		"DAC_Item_S1Teleport04"		"Flugten fra pengetanken"
		"DAC_Item_S1Teleport04_desc"		"Livet er en hvirvelvind i Det Hvide Spir"
		"DAC_Item_S1Teleport05"		"Op i røg"
		"DAC_Item_S1Teleport05_desc"		"Mester Tatsu bifalder dette."
		"DAC_Item_S1UnderlordDamage00"		"Standardskade"
		"DAC_Item_S1UnderlordDamage00_desc"		"Av."
		"DAC_Item_S1UnderlordDamage01"		"Ricky!"
		"DAC_Item_S1UnderlordDamage01_desc"		"Lad det udstoppede hoved af denne skurk fra Det Hvide Spir fylde dig med frygt!"
		"DAC_Item_S1UnderlordDamage02"		"Dudleys kys"
		"DAC_Item_S1UnderlordDamage02_desc"		"Der var engang en gråhåret bokser alene ved havet."
		"DAC_Item_S1UnderlordDamage03"		"Farlige fnug"
		"DAC_Item_S1UnderlordDamage03_desc"		"Er det et snefnug? ELLER ER DET EN KASTESTJERNE?!"
		"DAC_Item_S1UnderlordDamage04"		"Hård valuta"
		"DAC_Item_S1UnderlordDamage04_desc"		"Ikke smid med pengene..."
		"DAC_Item_S1UnderlordDamage05"		"Gi' dem røg!"
		"DAC_Item_S1UnderlordDamage05_desc"		"Røg er til kød og ikke Underlords. Så ved du det."
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraAnessix01"		"Hun er sjov! Hun er farverig! Hun er en dæmon! – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraAnessix02"		"Anessix kan fortælle dig alt, hvad du vil vide... for en pris – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraAnessix03"		"Anessix giver ikke op, og det må du heller ikke – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraAnessix04"		"Anessix' sjal er både et modefænomen og et kvælningsredskab – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraDisguise01"		"Denne fyr er klar til at kaste ildbesværgelse 3 – forklædningsportræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraDisguise02"		"Under denne pose er der et mysterium, som dit skrøbelige sind aldrig vil kunne forstå – forklædningsportræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraEnno01"		"Enno pønser altid på noget – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraEnno02"		"Enno er urørlig i sit rige – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraEnno03"		"Det er hårdt at leve på gaden i Det Hvide Spir – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraEnno04"		"Lad dig ikke narre, Enno er et brutalt væsen – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraHobgen01"		"En drømmeagtig fortolkning af Det Hvide Spirs yndlingspyroman – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraHobgen02"		"Lord Solbrise har kun foragt for Hobgen – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraHobgen03"		"Hobgen er ikke bange for at få blod på hænderne for at klare opgaven – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraHobgen04"		"Hobgens drømme rækker langt ud over Det Hvide Spir – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraJull01"		"Et stateligt portræt til en statelig mand – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraJull02"		"Husk altid at rette dine manchetknapper, efter du har brækket benene på nogen – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraJull03"		"Jull ser respektabel ud, selv når han taber – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BotjiraJull04"		"Du ønsker ikke at være grunden til, at Jull stiller sit glas fra sig – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BreaAnessix01"		"Anessix er altid klar til at blive set – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaAnessix02"		"Nogle gange overrumples selv Hemmelighedernes Herskerinde... – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaAnessix03"		"Anessix er ikke imponeret – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaAnessix04"		"Anessix kan meget mere, end hun foregiver – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise01"		"Er det et personligt udtryk for mode? Eller en politisk erklæring? – forklædningsportræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise02"		"31% i Kragereden er der på grund af hønsekriminalitet – forklædningsportræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise03"		"Det er dig, der er til grin – forklædningsportræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise04"		"Produktionsværdien på Maskernes Ø er faldet en del – forklædningsportræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise05"		"Åh nej dog – forklædningsportræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise06"		"Hængerosen er en by med endnu lavere moral end Det Hvide Spir – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaDisguise07"		"Nogle Underlords vil gøre hvad som helst for at overrumple deres ofre – portræt af Botjira"
		"DAC_Item_S1UnderlordPortraitDesc_BreaEnno01"		"Enno har lige overfaldet nogen – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaEnno02"		"Den enes ghetto er den andens guldgrube – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaEnno03"		"Det har været en lang dag i Gyderne – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaEnno04"		"Alle har brug for en hobby – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaHobgen01"		"Et varmt smil og en endnu varmere tændstik – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaHobgen02"		"Hobgen har længe sukket efter Mireska – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaHobgen03"		"Nogle gange går tingene bare ikke, som man vil – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaHobgen04"		"Flammer, på hans kinder – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaJull01"		"Selv Underlords har brug for kaffe – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaJull02"		"Alle er velkomne i Måneskær... bortset fra Bøddelen – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaJull03"		"Lad være med at åbne en bar i Det Hvide Spir, hvis du ikke er forberedt på at ende i et slagsmål – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_BreaJull04"		"Jull har høje tanker om sig selv som lobbyist – portræt af Brea Foster"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeAnessix01"		"Anessix er ikke nem at imponere – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeAnessix02"		"Det bedste, Anessix ved, er at prale over for en rival – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeAnessix03"		"Det klæder bare ikke Anessix med en klap for øjet – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeAnessix04"		"Anessix gør sit bedste for ikke at blande sig, medmindre det er absolut nødvendigt – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeDisguise01"		"Først lidt liste-listefod... derefter lidt dolke dolke blod – forklædningsportræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeDisguise02"		"Du får brug for en større båd – forklædningsportræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeDisguise03"		"Foretrukket af ådselædere og dem, der elsker æg – portræt af Diredube"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeDisguise04"		"Ikke alle Keenfolkets opfindelser er imponerende – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeEnno01"		"Enno er altid klar til en dyst – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeEnno02"		"Enno har en svaghed for skinnende ting – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeEnno03"		"HUNDEGALSKAB! – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeEnno04"		"Ennos rutine er enkel: Vågn op, spis, stik nogen ned, spis noget mere – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeHobgen01"		"Hobgen bryder sig ikke om at tale om sin tid i Revtel – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeHobgen02"		"Da Eeb sendte Hobgen ud for at finde svar, vidste folk, at de skulle tale hurtigt – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeHobgen03"		"Hvis du bor længe nok i Det Hvide Spir, får du helt sikkert en på snuden – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeHobgen04"		"Ingen er garanteret immunitet – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeJull01"		"Julls personlighed er lige så stor som hans skikkelse – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeJull02"		"Du mister hurtigt tænderne, hvis du spilder Julls drink med vilje – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeJull03"		"Jull tog på druktur igen – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_DiredudeJull04"		"Jull har altid en lommelærke ved hånden i tilfælde af en nødsituation – portræt af Diredude"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleAnessix01"		"Det Hvide Spir bliver hendes – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleAnessix02"		"Ingen kan finde kamelflokken – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleAnessix03"		"Lad os være ærlige, Hobgen fabrikerede falske beviser mod hende – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleAnessix04"		"Selvom Anessix ikke er velset i Retten i Ristul, har hun alligevel dens magt – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleEnno01"		"Ham her ønsker du ikke at møde i en mørk gyde – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleEnno02"		"Ingen fatter et ord af, hvad han siger – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleEnno03"		"Denne lille fyr har brug for lidt ulvekød og en lur – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleEnno04"		"Enno bruger sin størrelse og hurtighed til at overvinde sine fjender – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleHobgen01"		"Vær glad for, at det kun er en tændstik, han tænder – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleHobgen02"		"Det er en dårlig idé ikke at betale beskyttelsespenge til Hobgen – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleHobgen03"		"Skyldig i henhold til anklageskriftet – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleHobgen04"		"Hobgen har en særlig smag for cocktails – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleJull01"		"Stødtanden er ikke den eneste fra Gletsjerlandet med en hård højrehånd – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleJull02"		"Julls liv har taget mange drejninger, og det reflekterer han ofte over – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleJull03"		"Alting preller af på Jull – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_JrdoyleJull04"		"Til forskel fra Anessix er Jull ikke bange for at få beskidte hænder – portræt af J.R. Doyle"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunAnessix01"		"Nogle folk har bare kedelige hemmeligheder – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunAnessix02"		"Anessix har et naturtalent for intriger – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunAnessix03"		"Anessix vil meget gerne høre dine hemmeligheder – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunAnessix04"		"... og du ved det – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise01"		"Har du en dårlig dag i dag? – forklædningsportræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise02"		"Retten byder dig velkommen – forklædningsportræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise03"		"For nogle er profetens hvisken ren galskab. For dig er den den rene sang – forklædningsportræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise04"		"Klapstole medfølger ikke – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise05"		"Bare fordi du prøver på at gemme dig, betyder det ikke, at du ikke kan være på forkant med moden – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise06"		"En maske, som bæres ved den årlige begivenhed i Den Smalle Labyrint – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunDisguise07"		"Hvis du ser ham her, så løøøb! – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunEnno01"		"Hvis du ser Enno i Gyderne, er det bedst at lade ham være – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunEnno02"		"Enno bruger ikke penge, han samler på dem – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunEnno03"		"Livet i Gyderne slider virkelig på en – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunEnno04"		"Han er altid ét spring foran loven... – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunHobgen01"		"Hobgen drømmer om at brænde verden af, både metaforisk og bogstaveligt talt – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunHobgen02"		"Du ønsker ikke at blive nævnt i Hobgens drømmedagbog – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunHobgen03"		"... Den næste kommer til at koste – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunHobgen04"		"Pas på, når han har det blik i øjnene – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunJull01"		"Hvis tingene var gået efter Julls hoved, ville han bare være forretningsmand, men Eeb havde andre planer med ham – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunJull02"		"Jull har set meget, men selv han kan blive overrasket – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunJull03"		"Måske var det en dårlig idé at stoppe serveringen for Bøddelen – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortraitDesc_SukerufunJull04"		"Når man snakker med Jull, er det altid bedst at sige sandheden – portræt af Sukerufun"
		"DAC_Item_S1UnderlordPortrait_BotjiraAnessix01"		"Aldrig har ondskab set så sødt ud"
		"DAC_Item_S1UnderlordPortrait_BotjiraAnessix02"		"Handler i hemmeligheder"
		"DAC_Item_S1UnderlordPortrait_BotjiraAnessix03"		"Det er ikke slut endnu"
		"DAC_Item_S1UnderlordPortrait_BotjiraAnessix04"		"Skyggespil"
		"DAC_Item_S1UnderlordPortrait_BotjiraDisguise01"		"Den sorte magiker"
		"DAC_Item_S1UnderlordPortrait_BotjiraDisguise02"		"Posehoved"
		"DAC_Item_S1UnderlordPortrait_BotjiraEnno01"		"Søvnløs i Gyderne"
		"DAC_Item_S1UnderlordPortrait_BotjiraEnno02"		"Gydernes konge"
		"DAC_Item_S1UnderlordPortrait_BotjiraEnno03"		"Klynkepeter"
		"DAC_Item_S1UnderlordPortrait_BotjiraEnno04"		"Sand natur"
		"DAC_Item_S1UnderlordPortrait_BotjiraHobgen01"		"Ild er romantisk"
		"DAC_Item_S1UnderlordPortrait_BotjiraHobgen02"		"Ildfe"
		"DAC_Item_S1UnderlordPortrait_BotjiraHobgen03"		"Man kan ikke holde en skurk nede"
		"DAC_Item_S1UnderlordPortrait_BotjiraHobgen04"		"Indhyllet i flammer"
		"DAC_Item_S1UnderlordPortrait_BotjiraJull01"		"Gletsjerlandet i akvarel"
		"DAC_Item_S1UnderlordPortrait_BotjiraJull02"		"Takt og tone i Det Hvide Spir"
		"DAC_Item_S1UnderlordPortrait_BotjiraJull03"		"Bartender med værdighed"
		"DAC_Item_S1UnderlordPortrait_BotjiraJull04"		"Single malt-retfærdighed"
		"DAC_Item_S1UnderlordPortrait_BreaAnessix01"		"Hun vågnede op sådan her"
		"DAC_Item_S1UnderlordPortrait_BreaAnessix02"		"Virkelig?"
		"DAC_Item_S1UnderlordPortrait_BreaAnessix03"		"Foragt"
		"DAC_Item_S1UnderlordPortrait_BreaAnessix04"		"Rettens magt"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise01"		"Blad mig være alene"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise02"		"Overboss"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise03"		"Narhue"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise04"		"Kolospose"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise05"		"Tøndehoved"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise06"		"Turist i Hængerosen"
		"DAC_Item_S1UnderlordPortrait_BreaDisguise07"		"Sød som sukker"
		"DAC_Item_S1UnderlordPortrait_BreaEnno01"		"Glad pelsklump"
		"DAC_Item_S1UnderlordPortrait_BreaEnno02"		"Iværksætterånd"
		"DAC_Item_S1UnderlordPortrait_BreaEnno03"		"Gnaven Enno"
		"DAC_Item_S1UnderlordPortrait_BreaEnno04"		"OVERFALDSTID!"
		"DAC_Item_S1UnderlordPortrait_BreaHobgen01"		"Han gløder"
		"DAC_Item_S1UnderlordPortrait_BreaHobgen02"		"Jamen hej med dig..."
		"DAC_Item_S1UnderlordPortrait_BreaHobgen03"		"Bagslag"
		"DAC_Item_S1UnderlordPortrait_BreaHobgen04"		"Brændende raseri!"
		"DAC_Item_S1UnderlordPortrait_BreaJull01"		"Vågen hele natten"
		"DAC_Item_S1UnderlordPortrait_BreaJull02"		"Skål!"
		"DAC_Item_S1UnderlordPortrait_BreaJull03"		"Erhvervsrisiko"
		"DAC_Item_S1UnderlordPortrait_BreaJull04"		"Lad os snakke forretninger"
		"DAC_Item_S1UnderlordPortrait_DiredudeAnessix01"		"Ligeglad"
		"DAC_Item_S1UnderlordPortrait_DiredudeAnessix02"		"Magtspil"
		"DAC_Item_S1UnderlordPortrait_DiredudeAnessix03"		"Grrrr"
		"DAC_Item_S1UnderlordPortrait_DiredudeAnessix04"		"Ikke mit problem"
		"DAC_Item_S1UnderlordPortrait_DiredudeDisguise01"		"Naturlig forklædning"
		"DAC_Item_S1UnderlordPortrait_DiredudeDisguise02"		"Hajforklædning"
		"DAC_Item_S1UnderlordPortrait_DiredudeDisguise03"		"Utinni!"
		"DAC_Item_S1UnderlordPortrait_DiredudeDisguise04"		"Træmonster"
		"DAC_Item_S1UnderlordPortrait_DiredudeEnno01"		"Hård og brutal"
		"DAC_Item_S1UnderlordPortrait_DiredudeEnno02"		"Glad for glitter"
		"DAC_Item_S1UnderlordPortrait_DiredudeEnno03"		"Fråde om munden"
		"DAC_Item_S1UnderlordPortrait_DiredudeEnno04"		"Endnu en dag på kontoret"
		"DAC_Item_S1UnderlordPortrait_DiredudeHobgen01"		"Fe-ild"
		"DAC_Item_S1UnderlordPortrait_DiredudeHobgen02"		"Brændende spørgsmål"
		"DAC_Item_S1UnderlordPortrait_DiredudeHobgen03"		"Døende flamme"
		"DAC_Item_S1UnderlordPortrait_DiredudeHobgen04"		"Lav ild"
		"DAC_Item_S1UnderlordPortrait_DiredudeJull01"		"Hvalrosmanden i Det Hvide Spir"
		"DAC_Item_S1UnderlordPortrait_DiredudeJull02"		"Festovertrædelse"
		"DAC_Item_S1UnderlordPortrait_DiredudeJull03"		"Blodskudt"
		"DAC_Item_S1UnderlordPortrait_DiredudeJull04"		"Privat beholdning"
		"DAC_Item_S1UnderlordPortrait_JrdoyleAnessix01"		"Anessix' opstigning"
		"DAC_Item_S1UnderlordPortrait_JrdoyleAnessix02"		"Nogen, der sagde fest?"
		"DAC_Item_S1UnderlordPortrait_JrdoyleAnessix03"		"Falskneri"
		"DAC_Item_S1UnderlordPortrait_JrdoyleAnessix04"		"Ristul-agent"
		"DAC_Item_S1UnderlordPortrait_JrdoyleEnno01"		"Lurer i skyggerne"
		"DAC_Item_S1UnderlordPortrait_JrdoyleEnno02"		"Volapyk"
		"DAC_Item_S1UnderlordPortrait_JrdoyleEnno03"		"Tilbage i sikkerhed"
		"DAC_Item_S1UnderlordPortrait_JrdoyleEnno04"		"Adræt pestilens"
		"DAC_Item_S1UnderlordPortrait_JrdoyleHobgen01"		"Brug for ild?"
		"DAC_Item_S1UnderlordPortrait_JrdoyleHobgen02"		"Giv en mønt til en pyroman"
		"DAC_Item_S1UnderlordPortrait_JrdoyleHobgen03"		"Forbryderfoto"
		"DAC_Item_S1UnderlordPortrait_JrdoyleHobgen04"		"Molotovsjov"
		"DAC_Item_S1UnderlordPortrait_JrdoyleJull01"		"HVALROSSLAG!"
		"DAC_Item_S1UnderlordPortrait_JrdoyleJull02"		"Hensunket i tanker"
		"DAC_Item_S1UnderlordPortrait_JrdoyleJull03"		"Don Teflon"
		"DAC_Item_S1UnderlordPortrait_JrdoyleJull04"		"Blodige knoer"
		"DAC_Item_S1UnderlordPortrait_SukerufunAnessix01"		"Gaaab"
		"DAC_Item_S1UnderlordPortrait_SukerufunAnessix02"		"Ristul-rænkespil"
		"DAC_Item_S1UnderlordPortrait_SukerufunAnessix03"		"Hviske-tiske"
		"DAC_Item_S1UnderlordPortrait_SukerufunAnessix04"		"Hun er bare bedre end dig..."
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise01"		"Dødmorsom joke"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise02"		"Hilsner fra Ristul"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise03"		"Turaths discipel"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise04"		"Parkaen"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise05"		"Elegant forklædning"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise06"		"Dæmonisk gallamaske"
		"DAC_Item_S1UnderlordPortrait_SukerufunDisguise07"		"Krybende kravl"
		"DAC_Item_S1UnderlordPortrait_SukerufunEnno01"		"Skraldepanda"
		"DAC_Item_S1UnderlordPortrait_SukerufunEnno02"		"SKINNENDE!"
		"DAC_Item_S1UnderlordPortrait_SukerufunEnno03"		"Flækket maske"
		"DAC_Item_S1UnderlordPortrait_SukerufunEnno04"		"Gaderotte"
		"DAC_Item_S1UnderlordPortrait_SukerufunHobgen01"		"Pyromaniens prins"
		"DAC_Item_S1UnderlordPortrait_SukerufunHobgen02"		"Angren"
		"DAC_Item_S1UnderlordPortrait_SukerufunHobgen03"		"Den første er gratis..."
		"DAC_Item_S1UnderlordPortrait_SukerufunHobgen04"		"Hobgens stirren"
		"DAC_Item_S1UnderlordPortrait_SukerufunJull01"		"En simpel forretningsmand"
		"DAC_Item_S1UnderlordPortrait_SukerufunJull02"		"Store øjne"
		"DAC_Item_S1UnderlordPortrait_SukerufunJull03"		"Dårlige beslutninger"
		"DAC_Item_S1UnderlordPortrait_SukerufunJull04"		"Løgnedetektoren"
		"DAC_Item_S1UnderlordSkinAnessix00"		"Indhyllet i mørke"
		"DAC_Item_S1UnderlordSkinAnessix00_desc"		"En glat sort kjole smedet i Afgrunden."
		"DAC_Item_S1UnderlordSkinAnessix01"		"Uretfærdighedens gudinde"
